klass	lgbm_bin	pst_bin	n	lgbm_p	pst_p
Ground-truth viral	24	23	1	0.49	0.47
Ground-truth viral	24	24	1	0.49	0.49
Ground-truth viral	24	25	2	0.49	0.51
Ground-truth viral	24	26	4	0.49	0.53
Ground-truth viral	24	27	6	0.49	0.55
Ground-truth viral	24	28	3	0.49	0.57
Ground-truth viral	24	29	3	0.49	0.59
Ground-truth viral	24	30	9	0.49	0.61
Ground-truth viral	24	31	3	0.49	0.63
Ground-truth viral	24	32	7	0.49	0.65
Ground-truth viral	24	33	5	0.49	0.67
Ground-truth viral	24	34	4	0.49	0.69
Ground-truth viral	24	35	5	0.49	0.71
Ground-truth viral	24	36	3	0.49	0.73
Ground-truth viral	24	37	8	0.49	0.75
Ground-truth viral	24	38	7	0.49	0.77
Ground-truth viral	24	39	7	0.49	0.79
Ground-truth viral	24	40	9	0.49	0.81
Ground-truth viral	24	41	4	0.49	0.83
Ground-truth viral	24	42	6	0.49	0.85
Ground-truth viral	24	43	12	0.49	0.87
Ground-truth viral	24	44	15	0.49	0.89
Ground-truth viral	24	45	26	0.49	0.91
Ground-truth viral	24	46	15	0.49	0.93
Ground-truth viral	24	47	77	0.49	0.95
Ground-truth viral	24	48	10	0.49	0.97
Ground-truth viral	24	49	1805	0.49	0.99
Ground-truth viral	25	0	20	0.51	0.01
Ground-truth viral	25	2	14	0.51	0.05
Ground-truth viral	25	3	2	0.51	0.07
Ground-truth viral	25	4	4	0.51	0.09
Ground-truth viral	25	5	2	0.51	0.11
Ground-truth viral	25	7	5	0.51	0.15
Ground-truth viral	25	8	1	0.51	0.17
Ground-truth viral	25	9	2	0.51	0.19
Ground-truth viral	25	11	3	0.51	0.23
Ground-truth viral	25	12	4	0.51	0.25
Ground-truth viral	25	13	1	0.51	0.27
Ground-truth viral	25	14	4	0.51	0.29
Ground-truth viral	25	15	2	0.51	0.31
Ground-truth viral	25	16	4	0.51	0.33
Ground-truth viral	25	17	3	0.51	0.35
Ground-truth viral	25	18	3	0.51	0.37
Ground-truth viral	25	19	4	0.51	0.39
Ground-truth viral	25	22	1	0.51	0.45
Ground-truth viral	25	23	5	0.51	0.47
Ground-truth viral	25	24	2	0.51	0.49
Ground-truth viral	25	25	2	0.51	0.51
Ground-truth viral	25	26	3	0.51	0.53
Ground-truth viral	25	27	4	0.51	0.55
Ground-truth viral	25	28	2	0.51	0.57
Ground-truth viral	25	29	7	0.51	0.59
Ground-truth viral	25	30	3	0.51	0.61
Ground-truth viral	25	31	3	0.51	0.63
Ground-truth viral	25	32	4	0.51	0.65
Ground-truth viral	25	33	8	0.51	0.67
Ground-truth viral	25	34	3	0.51	0.69
Ground-truth viral	25	35	7	0.51	0.71
Ground-truth viral	25	36	7	0.51	0.73
Ground-truth viral	25	37	4	0.51	0.75
Ground-truth viral	25	38	8	0.51	0.77
Ground-truth viral	25	39	10	0.51	0.79
Ground-truth viral	25	40	12	0.51	0.81
Ground-truth viral	25	41	13	0.51	0.83
Ground-truth viral	25	42	15	0.51	0.85
Ground-truth viral	25	43	17	0.51	0.87
Ground-truth viral	25	44	13	0.51	0.89
Ground-truth viral	25	45	31	0.51	0.91
Ground-truth viral	25	46	7	0.51	0.93
Ground-truth viral	25	47	96	0.51	0.95
Ground-truth viral	25	48	4	0.51	0.97
Ground-truth viral	25	49	2024	0.51	0.99
Ground-truth viral	26	0	15	0.53	0.01
Ground-truth viral	26	2	9	0.53	0.05
Ground-truth viral	26	3	3	0.53	0.07
Ground-truth viral	26	4	6	0.53	0.09
Ground-truth viral	26	5	4	0.53	0.11
Ground-truth viral	26	6	6	0.53	0.13
Ground-truth viral	26	7	2	0.53	0.15
Ground-truth viral	26	8	1	0.53	0.17
Ground-truth viral	26	9	1	0.53	0.19
Ground-truth viral	26	10	3	0.53	0.21
Ground-truth viral	26	11	3	0.53	0.23
Ground-truth viral	26	12	3	0.53	0.25
Ground-truth viral	26	13	3	0.53	0.27
Ground-truth viral	26	14	1	0.53	0.29
Ground-truth viral	26	15	1	0.53	0.31
Ground-truth viral	26	17	1	0.53	0.35
Ground-truth viral	26	18	1	0.53	0.37
Ground-truth viral	26	19	2	0.53	0.39
Ground-truth viral	26	20	3	0.53	0.41
Ground-truth viral	26	21	2	0.53	0.43
Ground-truth viral	26	22	5	0.53	0.45
Ground-truth viral	26	23	3	0.53	0.47
Ground-truth viral	26	24	4	0.53	0.49
Ground-truth viral	26	25	1	0.53	0.51
Ground-truth viral	26	26	4	0.53	0.53
Ground-truth viral	26	27	4	0.53	0.55
Ground-truth viral	26	28	2	0.53	0.57
Ground-truth viral	26	29	5	0.53	0.59
Ground-truth viral	26	30	4	0.53	0.61
Ground-truth viral	26	31	3	0.53	0.63
Ground-truth viral	26	32	7	0.53	0.65
Ground-truth viral	26	33	4	0.53	0.67
Ground-truth viral	26	34	8	0.53	0.69
Ground-truth viral	26	35	8	0.53	0.71
Ground-truth viral	26	36	11	0.53	0.73
Ground-truth viral	26	37	5	0.53	0.75
Ground-truth viral	26	38	8	0.53	0.77
Ground-truth viral	26	39	11	0.53	0.79
Ground-truth viral	26	40	14	0.53	0.81
Ground-truth viral	26	41	5	0.53	0.83
Ground-truth viral	26	42	17	0.53	0.85
Ground-truth viral	26	43	8	0.53	0.87
Ground-truth viral	26	44	20	0.53	0.89
Ground-truth viral	26	45	34	0.53	0.91
Ground-truth viral	26	46	14	0.53	0.93
Ground-truth viral	26	47	79	0.53	0.95
Ground-truth viral	26	48	4	0.53	0.97
Ground-truth viral	26	49	2004	0.53	0.99
Ground-truth viral	27	0	24	0.55	0.01
Ground-truth viral	27	1	1	0.55	0.03
Ground-truth viral	27	2	9	0.55	0.05
Ground-truth viral	27	4	8	0.55	0.09
Ground-truth viral	27	5	1	0.55	0.11
Ground-truth viral	27	6	3	0.55	0.13
Ground-truth viral	27	7	6	0.55	0.15
Ground-truth viral	27	8	5	0.55	0.17
Ground-truth viral	27	10	4	0.55	0.21
Ground-truth viral	27	11	2	0.55	0.23
Ground-truth viral	27	12	3	0.55	0.25
Ground-truth viral	27	13	3	0.55	0.27
Ground-truth viral	27	14	5	0.55	0.29
Ground-truth viral	27	15	1	0.55	0.31
Ground-truth viral	27	16	1	0.55	0.33
Ground-truth viral	27	17	2	0.55	0.35
Ground-truth viral	27	18	3	0.55	0.37
Ground-truth viral	27	19	3	0.55	0.39
Ground-truth viral	27	20	5	0.55	0.41
Ground-truth viral	27	21	1	0.55	0.43
Ground-truth viral	27	22	1	0.55	0.45
Ground-truth viral	27	23	6	0.55	0.47
Ground-truth viral	27	24	8	0.55	0.49
Ground-truth viral	27	25	8	0.55	0.51
Ground-truth viral	27	26	2	0.55	0.53
Ground-truth viral	27	27	8	0.55	0.55
Ground-truth viral	27	28	2	0.55	0.57
Ground-truth viral	27	29	5	0.55	0.59
Ground-truth viral	27	30	6	0.55	0.61
Ground-truth viral	27	31	3	0.55	0.63
Ground-truth viral	27	32	5	0.55	0.65
Ground-truth viral	27	33	3	0.55	0.67
Ground-truth viral	27	34	5	0.55	0.69
Ground-truth viral	27	35	6	0.55	0.71
Ground-truth viral	27	36	8	0.55	0.73
Ground-truth viral	27	37	10	0.55	0.75
Ground-truth viral	27	38	9	0.55	0.77
Ground-truth viral	27	39	7	0.55	0.79
Ground-truth viral	27	40	9	0.55	0.81
Ground-truth viral	27	41	11	0.55	0.83
Ground-truth viral	27	42	14	0.55	0.85
Ground-truth viral	27	43	15	0.55	0.87
Ground-truth viral	27	44	14	0.55	0.89
Ground-truth viral	27	45	30	0.55	0.91
Ground-truth viral	27	46	17	0.55	0.93
Ground-truth viral	27	47	93	0.55	0.95
Ground-truth viral	27	48	12	0.55	0.97
Ground-truth viral	27	49	2312	0.55	0.99
Ground-truth viral	28	0	19	0.57	0.01
Ground-truth viral	28	2	10	0.57	0.05
Ground-truth viral	28	3	2	0.57	0.07
Ground-truth viral	28	4	6	0.57	0.09
Ground-truth viral	28	5	6	0.57	0.11
Ground-truth viral	28	6	2	0.57	0.13
Ground-truth viral	28	7	3	0.57	0.15
Ground-truth viral	28	8	1	0.57	0.17
Ground-truth viral	28	10	3	0.57	0.21
Ground-truth viral	28	11	4	0.57	0.23
Ground-truth viral	28	12	2	0.57	0.25
Ground-truth viral	28	14	2	0.57	0.29
Ground-truth viral	28	15	4	0.57	0.31
Ground-truth viral	28	16	4	0.57	0.33
Ground-truth viral	28	17	4	0.57	0.35
Ground-truth viral	28	19	3	0.57	0.39
Ground-truth viral	28	20	2	0.57	0.41
Ground-truth viral	28	21	4	0.57	0.43
Ground-truth viral	28	22	4	0.57	0.45
Ground-truth viral	28	23	4	0.57	0.47
Ground-truth viral	28	24	5	0.57	0.49
Ground-truth viral	28	25	4	0.57	0.51
Ground-truth viral	28	26	7	0.57	0.53
Ground-truth viral	28	27	7	0.57	0.55
Ground-truth viral	28	28	2	0.57	0.57
Ground-truth viral	28	29	4	0.57	0.59
Ground-truth viral	28	30	5	0.57	0.61
Ground-truth viral	28	31	11	0.57	0.63
Ground-truth viral	28	32	6	0.57	0.65
Ground-truth viral	28	33	4	0.57	0.67
Ground-truth viral	28	34	9	0.57	0.69
Ground-truth viral	28	35	8	0.57	0.71
Ground-truth viral	28	36	5	0.57	0.73
Ground-truth viral	28	37	12	0.57	0.75
Ground-truth viral	28	38	8	0.57	0.77
Ground-truth viral	28	39	10	0.57	0.79
Ground-truth viral	28	40	13	0.57	0.81
Ground-truth viral	28	41	6	0.57	0.83
Ground-truth viral	28	42	12	0.57	0.85
Ground-truth viral	28	43	20	0.57	0.87
Ground-truth viral	28	44	22	0.57	0.89
Ground-truth viral	28	45	30	0.57	0.91
Ground-truth viral	28	46	13	0.57	0.93
Ground-truth viral	28	47	108	0.57	0.95
Ground-truth viral	28	48	9	0.57	0.97
Ground-truth viral	28	49	2364	0.57	0.99
Ground-truth viral	29	0	20	0.59	0.01
Ground-truth viral	29	1	1	0.59	0.03
Ground-truth viral	29	2	9	0.59	0.05
Ground-truth viral	29	3	2	0.59	0.07
Ground-truth viral	29	4	2	0.59	0.09
Ground-truth viral	29	5	7	0.59	0.11
Ground-truth viral	29	6	5	0.59	0.13
Ground-truth viral	29	7	5	0.59	0.15
Ground-truth viral	29	8	1	0.59	0.17
Ground-truth viral	29	9	5	0.59	0.19
Ground-truth viral	29	10	2	0.59	0.21
Ground-truth viral	29	11	3	0.59	0.23
Ground-truth viral	29	12	4	0.59	0.25
Ground-truth viral	29	13	2	0.59	0.27
Ground-truth viral	29	14	7	0.59	0.29
Ground-truth viral	29	15	4	0.59	0.31
Ground-truth viral	29	16	3	0.59	0.33
Ground-truth viral	29	17	3	0.59	0.35
Ground-truth viral	29	18	3	0.59	0.37
Ground-truth viral	29	19	3	0.59	0.39
Ground-truth viral	29	20	3	0.59	0.41
Ground-truth viral	29	21	5	0.59	0.43
Ground-truth viral	29	22	5	0.59	0.45
Ground-truth viral	29	23	6	0.59	0.47
Ground-truth viral	29	24	4	0.59	0.49
Ground-truth viral	29	25	6	0.59	0.51
Ground-truth viral	29	26	5	0.59	0.53
Ground-truth viral	29	27	1	0.59	0.55
Ground-truth viral	29	28	2	0.59	0.57
Ground-truth viral	29	29	7	0.59	0.59
Ground-truth viral	29	30	11	0.59	0.61
Ground-truth viral	29	31	7	0.59	0.63
Ground-truth viral	29	32	7	0.59	0.65
Ground-truth viral	29	33	7	0.59	0.67
Ground-truth viral	29	34	10	0.59	0.69
Ground-truth viral	29	35	11	0.59	0.71
Ground-truth viral	29	36	11	0.59	0.73
Ground-truth viral	29	37	5	0.59	0.75
Ground-truth viral	29	38	15	0.59	0.77
Ground-truth viral	29	39	17	0.59	0.79
Ground-truth viral	29	40	10	0.59	0.81
Ground-truth viral	29	41	9	0.59	0.83
Ground-truth viral	29	42	15	0.59	0.85
Ground-truth viral	29	43	15	0.59	0.87
Ground-truth viral	29	44	17	0.59	0.89
Ground-truth viral	29	45	41	0.59	0.91
Ground-truth viral	29	46	17	0.59	0.93
Ground-truth viral	29	47	100	0.59	0.95
Ground-truth viral	29	48	19	0.59	0.97
Ground-truth viral	29	49	2568	0.59	0.99
Ground-truth viral	30	0	16	0.61	0.01
Ground-truth viral	30	1	4	0.61	0.03
Ground-truth viral	30	2	10	0.61	0.05
Ground-truth viral	30	3	1	0.61	0.07
Ground-truth viral	30	4	5	0.61	0.09
Ground-truth viral	30	5	1	0.61	0.11
Ground-truth viral	30	6	5	0.61	0.13
Ground-truth viral	30	7	4	0.61	0.15
Ground-truth viral	30	8	6	0.61	0.17
Ground-truth viral	30	9	1	0.61	0.19
Ground-truth viral	30	10	4	0.61	0.21
Ground-truth viral	30	11	3	0.61	0.23
Ground-truth viral	30	12	4	0.61	0.25
Ground-truth viral	30	13	2	0.61	0.27
Ground-truth viral	30	14	2	0.61	0.29
Ground-truth viral	30	15	2	0.61	0.31
Ground-truth viral	30	16	5	0.61	0.33
Ground-truth viral	30	17	1	0.61	0.35
Ground-truth viral	30	18	3	0.61	0.37
Ground-truth viral	30	19	2	0.61	0.39
Ground-truth viral	30	20	2	0.61	0.41
Ground-truth viral	30	21	6	0.61	0.43
Ground-truth viral	30	22	2	0.61	0.45
Ground-truth viral	30	23	2	0.61	0.47
Ground-truth viral	30	24	7	0.61	0.49
Ground-truth viral	30	25	1	0.61	0.51
Ground-truth viral	30	26	3	0.61	0.53
Ground-truth viral	30	27	3	0.61	0.55
Ground-truth viral	30	28	3	0.61	0.57
Ground-truth viral	30	29	6	0.61	0.59
Ground-truth viral	30	30	4	0.61	0.61
Ground-truth viral	30	31	4	0.61	0.63
Ground-truth viral	30	32	8	0.61	0.65
Ground-truth viral	30	33	6	0.61	0.67
Ground-truth viral	30	34	5	0.61	0.69
Ground-truth viral	30	35	6	0.61	0.71
Ground-truth viral	30	36	6	0.61	0.73
Ground-truth viral	30	37	6	0.61	0.75
Ground-truth viral	30	38	8	0.61	0.77
Ground-truth viral	30	39	7	0.61	0.79
Ground-truth viral	30	40	9	0.61	0.81
Ground-truth viral	30	41	11	0.61	0.83
Ground-truth viral	30	42	12	0.61	0.85
Ground-truth viral	30	43	20	0.61	0.87
Ground-truth viral	30	44	22	0.61	0.89
Ground-truth viral	30	45	28	0.61	0.91
Ground-truth viral	30	46	11	0.61	0.93
Ground-truth viral	30	47	116	0.61	0.95
Ground-truth viral	30	48	11	0.61	0.97
Ground-truth viral	30	49	2551	0.61	0.99
Ground-truth viral	31	0	23	0.63	0.01
Ground-truth viral	31	2	8	0.63	0.05
Ground-truth viral	31	3	1	0.63	0.07
Ground-truth viral	31	4	8	0.63	0.09
Ground-truth viral	31	5	4	0.63	0.11
Ground-truth viral	31	6	2	0.63	0.13
Ground-truth viral	31	7	2	0.63	0.15
Ground-truth viral	31	8	6	0.63	0.17
Ground-truth viral	31	9	1	0.63	0.19
Ground-truth viral	31	10	2	0.63	0.21
Ground-truth viral	31	11	3	0.63	0.23
Ground-truth viral	31	12	6	0.63	0.25
Ground-truth viral	31	13	1	0.63	0.27
Ground-truth viral	31	14	3	0.63	0.29
Ground-truth viral	31	15	4	0.63	0.31
Ground-truth viral	31	16	3	0.63	0.33
Ground-truth viral	31	17	4	0.63	0.35
Ground-truth viral	31	18	5	0.63	0.37
Ground-truth viral	31	19	3	0.63	0.39
Ground-truth viral	31	20	4	0.63	0.41
Ground-truth viral	31	21	2	0.63	0.43
Ground-truth viral	31	22	3	0.63	0.45
Ground-truth viral	31	23	3	0.63	0.47
Ground-truth viral	31	24	4	0.63	0.49
Ground-truth viral	31	25	7	0.63	0.51
Ground-truth viral	31	26	5	0.63	0.53
Ground-truth viral	31	27	6	0.63	0.55
Ground-truth viral	31	28	9	0.63	0.57
Ground-truth viral	31	29	5	0.63	0.59
Ground-truth viral	31	30	4	0.63	0.61
Ground-truth viral	31	31	10	0.63	0.63
Ground-truth viral	31	32	9	0.63	0.65
Ground-truth viral	31	33	6	0.63	0.67
Ground-truth viral	31	34	10	0.63	0.69
Ground-truth viral	31	35	7	0.63	0.71
Ground-truth viral	31	36	10	0.63	0.73
Ground-truth viral	31	37	6	0.63	0.75
Ground-truth viral	31	38	5	0.63	0.77
Ground-truth viral	31	39	10	0.63	0.79
Ground-truth viral	31	40	15	0.63	0.81
Ground-truth viral	31	41	9	0.63	0.83
Ground-truth viral	31	42	20	0.63	0.85
Ground-truth viral	31	43	17	0.63	0.87
Ground-truth viral	31	44	26	0.63	0.89
Ground-truth viral	31	45	39	0.63	0.91
Ground-truth viral	31	46	18	0.63	0.93
Ground-truth viral	31	47	127	0.63	0.95
Ground-truth viral	31	48	12	0.63	0.97
Ground-truth viral	31	49	2952	0.63	0.99
Ground-truth viral	32	0	31	0.65	0.01
Ground-truth viral	32	1	1	0.65	0.03
Ground-truth viral	32	2	16	0.65	0.05
Ground-truth viral	32	4	5	0.65	0.09
Ground-truth viral	32	5	7	0.65	0.11
Ground-truth viral	32	6	6	0.65	0.13
Ground-truth viral	32	7	7	0.65	0.15
Ground-truth viral	32	8	4	0.65	0.17
Ground-truth viral	32	9	6	0.65	0.19
Ground-truth viral	32	10	4	0.65	0.21
Ground-truth viral	32	11	4	0.65	0.23
Ground-truth viral	32	12	2	0.65	0.25
Ground-truth viral	32	13	2	0.65	0.27
Ground-truth viral	32	14	2	0.65	0.29
Ground-truth viral	32	15	6	0.65	0.31
Ground-truth viral	32	16	4	0.65	0.33
Ground-truth viral	32	17	2	0.65	0.35
Ground-truth viral	32	18	5	0.65	0.37
Ground-truth viral	32	19	2	0.65	0.39
Ground-truth viral	32	20	4	0.65	0.41
Ground-truth viral	32	21	6	0.65	0.43
Ground-truth viral	32	22	6	0.65	0.45
Ground-truth viral	32	23	3	0.65	0.47
Ground-truth viral	32	24	5	0.65	0.49
Ground-truth viral	32	25	6	0.65	0.51
Ground-truth viral	32	26	2	0.65	0.53
Ground-truth viral	32	27	7	0.65	0.55
Ground-truth viral	32	28	2	0.65	0.57
Ground-truth viral	32	29	3	0.65	0.59
Ground-truth viral	32	30	5	0.65	0.61
Ground-truth viral	32	31	5	0.65	0.63
Ground-truth viral	32	33	9	0.65	0.67
Ground-truth viral	32	34	12	0.65	0.69
Ground-truth viral	32	35	6	0.65	0.71
Ground-truth viral	32	36	8	0.65	0.73
Ground-truth viral	32	37	12	0.65	0.75
Ground-truth viral	32	38	14	0.65	0.77
Ground-truth viral	32	39	13	0.65	0.79
Ground-truth viral	32	40	14	0.65	0.81
Ground-truth viral	32	41	17	0.65	0.83
Ground-truth viral	32	42	23	0.65	0.85
Ground-truth viral	32	43	14	0.65	0.87
Ground-truth viral	32	44	20	0.65	0.89
Ground-truth viral	32	45	41	0.65	0.91
Ground-truth viral	32	46	21	0.65	0.93
Ground-truth viral	32	47	120	0.65	0.95
Ground-truth viral	32	48	15	0.65	0.97
Ground-truth viral	32	49	2973	0.65	0.99
Ground-truth viral	33	0	16	0.67	0.01
Ground-truth viral	33	1	1	0.67	0.03
Ground-truth viral	33	2	11	0.67	0.05
Ground-truth viral	33	3	2	0.67	0.07
Ground-truth viral	33	4	4	0.67	0.09
Ground-truth viral	33	5	3	0.67	0.11
Ground-truth viral	33	6	3	0.67	0.13
Ground-truth viral	33	7	7	0.67	0.15
Ground-truth viral	33	8	3	0.67	0.17
Ground-truth viral	33	9	3	0.67	0.19
Ground-truth viral	33	10	1	0.67	0.21
Ground-truth viral	33	11	4	0.67	0.23
Ground-truth viral	33	12	2	0.67	0.25
Ground-truth viral	33	13	3	0.67	0.27
Ground-truth viral	33	14	3	0.67	0.29
Ground-truth viral	33	15	4	0.67	0.31
Ground-truth viral	33	16	3	0.67	0.33
Ground-truth viral	33	17	1	0.67	0.35
Ground-truth viral	33	18	3	0.67	0.37
Ground-truth viral	33	19	4	0.67	0.39
Ground-truth viral	33	20	3	0.67	0.41
Ground-truth viral	33	21	5	0.67	0.43
Ground-truth viral	33	22	7	0.67	0.45
Ground-truth viral	33	23	5	0.67	0.47
Ground-truth viral	33	24	2	0.67	0.49
Ground-truth viral	33	25	4	0.67	0.51
Ground-truth viral	33	26	8	0.67	0.53
Ground-truth viral	33	27	4	0.67	0.55
Ground-truth viral	33	28	5	0.67	0.57
Ground-truth viral	33	29	9	0.67	0.59
Ground-truth viral	33	30	5	0.67	0.61
Ground-truth viral	33	31	2	0.67	0.63
Ground-truth viral	33	32	2	0.67	0.65
Ground-truth viral	33	33	4	0.67	0.67
Ground-truth viral	33	34	5	0.67	0.69
Ground-truth viral	33	35	6	0.67	0.71
Ground-truth viral	33	36	4	0.67	0.73
Ground-truth viral	33	37	7	0.67	0.75
Ground-truth viral	33	38	6	0.67	0.77
Ground-truth viral	33	39	9	0.67	0.79
Ground-truth viral	33	40	14	0.67	0.81
Ground-truth viral	33	41	16	0.67	0.83
Ground-truth viral	33	42	22	0.67	0.85
Ground-truth viral	33	43	18	0.67	0.87
Ground-truth viral	33	44	20	0.67	0.89
Ground-truth viral	33	45	41	0.67	0.91
Ground-truth viral	33	46	25	0.67	0.93
Ground-truth viral	33	47	129	0.67	0.95
Ground-truth viral	33	48	19	0.67	0.97
Ground-truth viral	33	49	3221	0.67	0.99
Ground-truth viral	34	0	444	0.69	0.01
Ground-truth viral	34	1	7	0.69	0.03
Ground-truth viral	34	2	267	0.69	0.05
Ground-truth viral	34	3	17	0.69	0.07
Ground-truth viral	34	4	120	0.69	0.09
Ground-truth viral	34	5	69	0.69	0.11
Ground-truth viral	34	6	49	0.69	0.13
Ground-truth viral	34	7	97	0.69	0.15
Ground-truth viral	34	8	41	0.69	0.17
Ground-truth viral	34	9	69	0.69	0.19
Ground-truth viral	34	10	63	0.69	0.21
Ground-truth viral	34	11	41	0.69	0.23
Ground-truth viral	34	12	54	0.69	0.25
Ground-truth viral	34	13	45	0.69	0.27
Ground-truth viral	34	14	64	0.69	0.29
Ground-truth viral	34	15	48	0.69	0.31
Ground-truth viral	34	16	61	0.69	0.33
Ground-truth viral	34	17	57	0.69	0.35
Ground-truth viral	34	18	59	0.69	0.37
Ground-truth viral	34	19	55	0.69	0.39
Ground-truth viral	34	20	55	0.69	0.41
Ground-truth viral	34	21	62	0.69	0.43
Ground-truth viral	34	22	73	0.69	0.45
Ground-truth viral	34	23	54	0.69	0.47
Ground-truth viral	34	24	71	0.69	0.49
Ground-truth viral	34	25	77	0.69	0.51
Ground-truth viral	34	26	80	0.69	0.53
Ground-truth viral	34	27	102	0.69	0.55
Ground-truth viral	34	28	83	0.69	0.57
Ground-truth viral	34	29	91	0.69	0.59
Ground-truth viral	34	30	122	0.69	0.61
Ground-truth viral	34	31	122	0.69	0.63
Ground-truth viral	34	32	112	0.69	0.65
Ground-truth viral	34	33	115	0.69	0.67
Ground-truth viral	34	34	138	0.69	0.69
Ground-truth viral	34	35	141	0.69	0.71
Ground-truth viral	34	36	167	0.69	0.73
Ground-truth viral	34	37	184	0.69	0.75
Ground-truth viral	34	38	160	0.69	0.77
Ground-truth viral	34	39	225	0.69	0.79
Ground-truth viral	34	40	283	0.69	0.81
Ground-truth viral	34	41	252	0.69	0.83
Ground-truth viral	34	42	435	0.69	0.85
Ground-truth viral	34	43	339	0.69	0.87
Ground-truth viral	34	44	530	0.69	0.89
Ground-truth viral	34	45	837	0.69	0.91
Ground-truth viral	34	46	490	0.69	0.93
Ground-truth viral	34	47	3471	0.69	0.95
Ground-truth viral	34	48	339	0.69	0.97
Ground-truth viral	34	49	93592	0.69	0.99
Ground-truth viral	35	0	23	0.71	0.01
Ground-truth viral	35	1	1	0.71	0.03
Ground-truth viral	35	2	20	0.71	0.05
Ground-truth viral	35	4	5	0.71	0.09
Ground-truth viral	35	5	3	0.71	0.11
Ground-truth viral	35	7	7	0.71	0.15
Ground-truth viral	35	8	2	0.71	0.17
Ground-truth viral	35	9	3	0.71	0.19
Ground-truth viral	35	10	4	0.71	0.21
Ground-truth viral	35	11	1	0.71	0.23
Ground-truth viral	35	12	2	0.71	0.25
Ground-truth viral	35	13	5	0.71	0.27
Ground-truth viral	35	14	3	0.71	0.29
Ground-truth viral	35	15	3	0.71	0.31
Ground-truth viral	35	16	5	0.71	0.33
Ground-truth viral	35	17	6	0.71	0.35
Ground-truth viral	35	18	7	0.71	0.37
Ground-truth viral	35	19	3	0.71	0.39
Ground-truth viral	35	20	3	0.71	0.41
Ground-truth viral	35	21	5	0.71	0.43
Ground-truth viral	35	22	5	0.71	0.45
Ground-truth viral	35	23	8	0.71	0.47
Ground-truth viral	35	24	6	0.71	0.49
Ground-truth viral	35	25	4	0.71	0.51
Ground-truth viral	35	26	2	0.71	0.53
Ground-truth viral	35	27	4	0.71	0.55
Ground-truth viral	35	28	2	0.71	0.57
Ground-truth viral	35	29	8	0.71	0.59
Ground-truth viral	35	30	14	0.71	0.61
Ground-truth viral	35	31	6	0.71	0.63
Ground-truth viral	35	32	4	0.71	0.65
Ground-truth viral	35	33	8	0.71	0.67
Ground-truth viral	35	34	8	0.71	0.69
Ground-truth viral	35	35	7	0.71	0.71
Ground-truth viral	35	36	10	0.71	0.73
Ground-truth viral	35	37	14	0.71	0.75
Ground-truth viral	35	38	12	0.71	0.77
Ground-truth viral	35	39	21	0.71	0.79
Ground-truth viral	35	40	16	0.71	0.81
Ground-truth viral	35	41	13	0.71	0.83
Ground-truth viral	35	42	23	0.71	0.85
Ground-truth viral	35	43	24	0.71	0.87
Ground-truth viral	35	44	23	0.71	0.89
Ground-truth viral	35	45	46	0.71	0.91
Ground-truth viral	35	46	31	0.71	0.93
Ground-truth viral	35	47	185	0.71	0.95
Ground-truth viral	35	48	22	0.71	0.97
Ground-truth viral	35	49	3805	0.71	0.99
Ground-truth viral	36	0	40	0.73	0.01
Ground-truth viral	36	1	2	0.73	0.03
Ground-truth viral	36	2	16	0.73	0.05
Ground-truth viral	36	3	1	0.73	0.07
Ground-truth viral	36	4	8	0.73	0.09
Ground-truth viral	36	5	2	0.73	0.11
Ground-truth viral	36	6	1	0.73	0.13
Ground-truth viral	36	7	7	0.73	0.15
Ground-truth viral	36	8	5	0.73	0.17
Ground-truth viral	36	9	4	0.73	0.19
Ground-truth viral	36	10	1	0.73	0.21
Ground-truth viral	36	11	5	0.73	0.23
Ground-truth viral	36	12	6	0.73	0.25
Ground-truth viral	36	13	2	0.73	0.27
Ground-truth viral	36	14	3	0.73	0.29
Ground-truth viral	36	15	5	0.73	0.31
Ground-truth viral	36	16	8	0.73	0.33
Ground-truth viral	36	17	10	0.73	0.35
Ground-truth viral	36	18	8	0.73	0.37
Ground-truth viral	36	19	5	0.73	0.39
Ground-truth viral	36	20	1	0.73	0.41
Ground-truth viral	36	21	8	0.73	0.43
Ground-truth viral	36	22	3	0.73	0.45
Ground-truth viral	36	23	7	0.73	0.47
Ground-truth viral	36	24	7	0.73	0.49
Ground-truth viral	36	25	9	0.73	0.51
Ground-truth viral	36	26	12	0.73	0.53
Ground-truth viral	36	27	5	0.73	0.55
Ground-truth viral	36	28	10	0.73	0.57
Ground-truth viral	36	29	7	0.73	0.59
Ground-truth viral	36	30	9	0.73	0.61
Ground-truth viral	36	31	6	0.73	0.63
Ground-truth viral	36	32	5	0.73	0.65
Ground-truth viral	36	33	6	0.73	0.67
Ground-truth viral	36	34	15	0.73	0.69
Ground-truth viral	36	35	7	0.73	0.71
Ground-truth viral	36	36	11	0.73	0.73
Ground-truth viral	36	37	11	0.73	0.75
Ground-truth viral	36	38	9	0.73	0.77
Ground-truth viral	36	39	3	0.73	0.79
Ground-truth viral	36	40	23	0.73	0.81
Ground-truth viral	36	41	12	0.73	0.83
Ground-truth viral	36	42	26	0.73	0.85
Ground-truth viral	36	43	13	0.73	0.87
Ground-truth viral	36	44	42	0.73	0.89
Ground-truth viral	36	45	46	0.73	0.91
Ground-truth viral	36	46	32	0.73	0.93
