Accession,Protein Function,V-Score,Log10[Hit Number],Database Origin
K18228,taurochenodeoxycholate 6alpha-hydroxylase [EC:1.14.14.57],0.64,1.806179974,KEGG
K13061,acyl homoserine lactone synthase [EC:2.3.1.184],0.64,1.806179974,KEGG
K00937,polyphosphate kinase [EC:2.7.4.1],0.64,1.806179974,KEGG
K22736,vacuolar iron transporter family protein,0.64,1.806179974,KEGG
K00489,cholesterol 7alpha-monooxygenase [EC:1.14.14.23],0.64,1.806179974,KEGG
K21475,alkylphenol/PAH-inducible cytochrome P450 monooxygenase,0.64,1.806179974,KEGG
K02236,leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-],0.64,1.806179974,KEGG
K20619,cytochrome P450 family 78 subfamily A,0.64,1.806179974,KEGG
K02278,prepilin peptidase CpaA [EC:3.4.23.43],0.64,1.806179974,KEGG
K14061,universal stress protein F,0.64,1.806179974,KEGG
K23250,"O104-antigen biosynthesis alpha-1,4-galactosyltransferase",0.64,1.806179974,KEGG
K20692,gram-negative bacteria-binding protein 3,0.64,1.806179974,KEGG
K13705,abhydrolase domain-containing protein 12B [EC:3.-.-.-],0.64,1.806179974,KEGG
K18925,paired small multidrug resistance pump,0.64,1.806179974,KEGG
K13267,flavonoid 6-hydroxylase [EC:1.14.13.-],0.64,1.806179974,KEGG
K13733,fibronectin-binding protein B,0.64,1.806179974,KEGG
K08911,light-harvesting complex I chlorophyll a/b binding protein 5,0.63,1.799340549,KEGG
K08916,light-harvesting complex II chlorophyll a/b binding protein 5,0.63,1.799340549,KEGG
K13787,"geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]",0.63,1.799340549,KEGG
K20330,"LuxR family transcriptional regulator, activator of tox operons",0.63,1.799340549,KEGG
K17691,cytochrome P450 family 3 subfamily A7 [EC:1.14.14.1],0.63,1.799340549,KEGG
K17692,cytochrome P450 family 3 subfamily A43 [EC:1.14.14.1],0.63,1.799340549,KEGG
K16380,cytochrome P450 RapN,0.63,1.799340549,KEGG
K16389,cytochrome P450 monooxygenase,0.63,1.799340549,KEGG
K21693,protopine 6-monooxygenase [EC:1.14.14.98],0.63,1.799340549,KEGG
K25581,tropinone synthase,0.63,1.799340549,KEGG
K05058,leukemia inhibitory factor receptor,0.63,1.799340549,KEGG
K04722,tumor necrosis factor receptor superfamily member 10A/B,0.63,1.799340549,KEGG
K21323,tert-butyl alcohol monooxygenase / tert-amyl alcohol desaturase [EC:1.14.13.229 1.14.19.48],0.63,1.799340549,KEGG
K03436,"DeoR family transcriptional regulator, fructose operon transcriptional repressor",0.63,1.799340549,KEGG
K17853,cytochrome P450 family 2 subfamily H,0.63,1.799340549,KEGG
K17869,NADH oxidase (H2O-forming) [EC:1.6.3.4],0.63,1.799340549,KEGG
K15265,21S rRNA pseudouridine2819 synthase [EC:5.4.99.43],0.63,1.799340549,KEGG
K03978,GTP-binding protein,0.63,1.799340549,KEGG
K15778,phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2],0.63,1.799340549,KEGG
K11892,type VI secretion system protein ImpK,0.63,1.799340549,KEGG
K10597,ubiquitin conjugation factor E4 B [EC:2.3.2.27],0.63,1.799340549,KEGG
K01880,glycyl-tRNA synthetase [EC:6.1.1.14],0.63,1.799340549,KEGG
K21071,ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],0.63,1.799340549,KEGG
K03158,tumor necrosis factor receptor superfamily member 1A,0.63,1.799340549,KEGG
K08391,G protein-coupled receptor 174,0.63,1.799340549,KEGG
K25463,cytochrome P450 monooxygenase CloA [EC:1.14.13.-],0.63,1.799340549,KEGG
K23811,fatty acid omega-hydroxylase [EC:1.14.-.-],0.63,1.799340549,KEGG
K01585,arginine decarboxylase [EC:4.1.1.19],0.63,1.799340549,KEGG
K18094,"membrane fusion protein, multidrug efflux system",0.63,1.799340549,KEGG
K18096,acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-],0.63,1.799340549,KEGG
K12021,tripartite motif-containing protein 45,0.63,1.799340549,KEGG
K22547,arsenate reductase [EC:1.20.4.1],0.63,1.799340549,KEGG
K04173,formyl peptide receptor-like,0.63,1.799340549,KEGG
K12511,tight adherence protein C,0.63,1.799340549,KEGG
K00780,"beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4A) [EC:2.4.3.2 2.4.3.4]",0.63,1.799340549,KEGG
K03822,putative long chain acyl-CoA synthase [EC:6.2.1.-],0.63,1.799340549,KEGG
K21295,5-dehydro-6-demethoxyfumagillol synthase [EC:1.14.14.184],0.63,1.799340549,KEGG
K11249,cysteine/O-acetylserine efflux protein,0.63,1.799340549,KEGG
K12571,PAB-dependent poly(A)-specific ribonuclease subunit 2 [EC:3.1.13.4],0.63,1.799340549,KEGG
K02523,octaprenyl-diphosphate synthase [EC:2.5.1.90],0.63,1.799340549,KEGG
K24807,zinc finger and BTB domain-containing protein 49,0.63,1.799340549,KEGG
K24376,zinc finger protein 711,0.63,1.799340549,KEGG
K05144,tumor necrosis factor receptor superfamily member 7,0.63,1.799340549,KEGG
K06949,ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100],0.63,1.799340549,KEGG
K06494,"selectin, endothelial cell",0.63,1.799340549,KEGG
K10498,zinc finger and BTB domain-containing protein 11,0.63,1.799340549,KEGG
K08211,"MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 15",0.63,1.799340549,KEGG
K09545,heat shock protein beta-6,0.63,1.799340549,KEGG
K00456,cysteine dioxygenase [EC:1.13.11.20],0.63,1.799340549,KEGG
K10971,"alpha 1,2-galactosyltransferase [EC:2.4.1.-]",0.63,1.799340549,KEGG
K26176,flavone/flavonol reductase,0.63,1.799340549,KEGG
K08724,penicillin-binding protein 2B,0.63,1.799340549,KEGG
K26663,Mimiviridae DNA-directed RNA polymerase subunit L,0.63,1.799340549,KEGG
K12298,bile salt-stimulated lipase [EC:3.1.1.3 3.1.1.13],0.63,1.799340549,KEGG
K20620,fatty acid hydroxylase,0.63,1.799340549,KEGG
K24543,cytochrome P450 family 97 subfamily B polypeptide 3,0.63,1.799340549,KEGG
K15385,aspyridone synthetase trans-acting enoyl reductase,0.63,1.799340549,KEGG
K01465,dihydroorotase [EC:3.5.2.3],0.63,1.799340549,KEGG
K05821,aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28],0.63,1.799340549,KEGG
K09714,"HTH-type transcriptional regulator, fmd operon transcriptional regulator",0.63,1.799340549,KEGG
K18903,"outer membrane protein, multidrug efflux system",0.63,1.799340549,KEGG
K08402,hydroxycarboxylic acid receptor 2/3,0.63,1.799340549,KEGG
K00188,2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7],0.63,1.799340549,KEGG
K08426,G protein-coupled receptor 132,0.63,1.799340549,KEGG
K09754,5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase [EC:1.14.14.96],0.63,1.799340549,KEGG
K08915,light-harvesting complex II chlorophyll a/b binding protein 4,0.62,1.792391689,KEGG
K03277,heptosyltransferase IV [EC:2.4.-.-],0.62,1.792391689,KEGG
K15054,(S)-mandelate dehydrogenase [EC:1.1.99.31],0.62,1.792391689,KEGG
K20828,zinc finger protein 143/76,0.62,1.792391689,KEGG
K14703,"solute carrier family 26, member 5",0.62,1.792391689,KEGG
K15572,naphthyl-2-hydroxymethylsuccinyl-CoA hydratase [EC:4.2.1.-],0.62,1.792391689,KEGG
K04215,mu-type opioid receptor,0.62,1.792391689,KEGG
K13404,7-ethoxycoumarin O-deethylase [EC:1.14.-.-],0.62,1.792391689,KEGG
K18637,axial budding pattern protein 2,0.62,1.792391689,KEGG
K21320,butane monooxygenase reductase,0.62,1.792391689,KEGG
K04276,C-X-C chemokine receptor type 8,0.62,1.792391689,KEGG
K22199,phosphopentomutase [EC:5.4.2.7],0.62,1.792391689,KEGG
K04285,melatonin receptor type 1A,0.62,1.792391689,KEGG
K12156,(methylthio)alkanaldoxime N-monooxygenase [EC:1.14.14.43],0.62,1.792391689,KEGG
K08188,"MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 11",0.62,1.792391689,KEGG
K13962,"solute carrier family 26 (anion exchange transporter), member 7",0.62,1.792391689,KEGG
K07349,minor fimbrial subunit,0.62,1.792391689,KEGG
K24409,thioglycine synthase [EC:6.2.2.1],0.62,1.792391689,KEGG
K17873,11-oxo-beta-amyrin 30-oxidase [EC:1.14.14.115],0.62,1.792391689,KEGG
K19118,CRISPR-associated protein Csd2,0.62,1.792391689,KEGG
K12696,tabersonine 16-hydroxylase [EC:1.14.14.103],0.62,1.792391689,KEGG
K10508,zinc finger and BTB domain-containing protein 34,0.62,1.792391689,KEGG
K10512,zinc finger and BTB domain-containing protein 40,0.62,1.792391689,KEGG
K00014,shikimate dehydrogenase [EC:1.1.1.25],0.62,1.792391689,KEGG
K10070,C-type lectin domain family 1 member B,0.62,1.792391689,KEGG
K15747,beta-ring hydroxylase [EC:1.14.-.-],0.62,1.792391689,KEGG
K18300,"outer membrane protein, multidrug efflux system",0.62,1.792391689,KEGG
K18317,carboxymethylproline synthase [EC:2.3.1.226],0.62,1.792391689,KEGG
K09617,kallikrein 5 [EC:3.4.21.-],0.62,1.792391689,KEGG
K07056,16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198],0.62,1.792391689,KEGG
K08380,prokineticin receptor 2,0.62,1.792391689,KEGG
K13690,"alpha-1,3-mannosyltransferase [EC:2.4.1.-]",0.62,1.792391689,KEGG
K15402,fatty acid omega-hydroxylase [EC:1.14.-.-],0.62,1.792391689,KEGG
K15415,monodictyphenone polyketide synthase,0.62,1.792391689,KEGG
K03666,host factor-I protein,0.62,1.792391689,KEGG
K25488,11-carbonyl-20beta-hydroxycucurbitadienol 2-hydroxylase [EC:1.14.14.-],0.62,1.792391689,KEGG
K18003,anthraniloyl-CoA anthraniloyltransferase [EC:2.3.1.262],0.62,1.792391689,KEGG
K10248,elongation of very long chain fatty acids protein 3 [EC:2.3.1.199],0.62,1.792391689,KEGG
K23321,aspirochlorine biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-],0.62,1.792391689,KEGG
K20769,fatty acid omega-hydroxylase [EC:1.14.-.-],0.62,1.792391689,KEGG
K14613,"MFS transporter, PCFT/HCP family, solute carrier family 46 (folate transporter), member 1",0.62,1.792391689,KEGG
K23380,FRAS1-related extracelluar matrix protein 1/2,0.62,1.792391689,KEGG
K04600,cadherin EGF LAG seven-pass G-type receptor 1,0.62,1.792391689,KEGG
K21201,cytochrome P450 family 119 [EC:1.11.1.7],0.62,1.792391689,KEGG
K03333,cholesterol oxidase [EC:1.1.3.6],0.62,1.792391689,KEGG
K13866,"solute carrier family 7 (cationic amino acid transporter), member 4",0.62,1.792391689,KEGG
K12090,cag pathogenicity island protein 5,0.62,1.792391689,KEGG
K19014,inter-alpha-trypsin inhibitor heavy chain H1,0.62,1.792391689,KEGG
K25190,membrane fusion protein PltH,0.62,1.792391689,KEGG
K07781,"LuxR family transcriptional regulator, capsular biosynthesis positive transcription factor",0.62,1.792391689,KEGG
K24389,"vitamin D3 1,25-hydroxylase [EC:1.14.15.-]",0.62,1.792391689,KEGG
K13029,4-hydroxyphenylacetaldehyde oxime monooxygenase [EC:1.14.14.37],0.62,1.792391689,KEGG
K13507,glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42],0.62,1.792391689,KEGG
K06986,uncharacterized protein,0.62,1.792391689,KEGG
K08248,(R)-mandelonitrile lyase [EC:4.1.2.10],0.62,1.792391689,KEGG
K00499,choline monooxygenase [EC:1.14.15.7],0.62,1.792391689,KEGG
K07409,cytochrome P450 family 1 subfamily A2 [EC:1.14.14.1],0.62,1.792391689,KEGG
K17478,FK506-binding protein 15,0.62,1.792391689,KEGG
K07429,cytochrome P450 family 4 subfamily Z [EC:1.14.14.1],0.62,1.792391689,KEGG
K00989,ribonuclease PH [EC:2.7.7.56],0.62,1.792391689,KEGG
K07439,24-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.26],0.62,1.792391689,KEGG
K15800,germacrene A oxidase [EC:1.14.14.95],0.62,1.792391689,KEGG
K19702,aminopeptidase S [EC:3.4.11.24],0.62,1.792391689,KEGG
K15837,G-protein signaling modulator 2,0.62,1.792391689,KEGG
K19722,receptor for advanced glycosylation end products,0.62,1.792391689,KEGG
K10640,E3 ubiquitin-protein ligase RNF25 [EC:2.3.2.27],0.62,1.792391689,KEGG
K18427,4-hydroxyphenylacetate decarboxylase large subunit [EC:4.1.1.83],0.62,1.792391689,KEGG
K19294,alginate O-acetyltransferase complex protein AlgI,0.62,1.792391689,KEGG
K09700,uncharacterized protein,0.62,1.792391689,KEGG
K09712,uncharacterized protein,0.62,1.792391689,KEGG
K19784,"chromate reductase, NAD(P)H dehydrogenase (quinone)",0.62,1.792391689,KEGG
K21113,cytochrome P450 family 106,0.62,1.792391689,KEGG
K21119,cytochrome P450 family 130,0.62,1.792391689,KEGG
K08416,psychosine receptor,0.62,1.792391689,KEGG
K08420,G protein-coupled receptor 82,0.62,1.792391689,KEGG
K03238,translation initiation factor 2 subunit 2,0.62,1.792391689,KEGG
K03760,lipid A ethanolaminephosphotransferase [EC:2.7.8.43],0.61,1.785329835,KEGG
K25580,nicotine N-demethylase,0.61,1.785329835,KEGG
K07681,"two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS [EC:2.7.13.3]",0.61,1.785329835,KEGG
K23452,UDP-glucosyltransferase 85A [EC:2.4.1.-],0.61,1.785329835,KEGG
K23468,calsequestrin 1,0.61,1.785329835,KEGG
K23469,G2/mitotic-specific cyclin 2,0.61,1.785329835,KEGG
K02996,small subunit ribosomal protein S9,0.61,1.785329835,KEGG
K10879,DNA-repair protein XRCC2,0.61,1.785329835,KEGG
K10882,crossover junction endonuclease EME1 [EC:3.1.22.-],0.61,1.785329835,KEGG
K21302,phosphatidylinositol-3-phosphatase [EC:3.1.3.64],0.61,1.785329835,KEGG
K22636,ferruginol synthase / ferruginol monooxygenase [EC:1.14.14.175 1.14.14.60],0.61,1.785329835,KEGG
K16039,N-glycosyltransferase [EC:2.4.1.-],0.61,1.785329835,KEGG
K25264,(2S)-3-sulfopropanediol sulfolyase [EC:4.4.1.41],0.61,1.785329835,KEGG
K20078,cytochrome P450 StaP [EC:1.13.12.-],0.61,1.785329835,KEGG
K11803,DDB1- and CUL4-associated factor 12,0.61,1.785329835,KEGG
K10072,C-type lectin domain family 2 member D,0.61,1.785329835,KEGG
K10075,killer cell lectin-like receptor subfamily F member 1,0.61,1.785329835,KEGG
K01835,phosphoglucomutase [EC:5.4.2.2],0.61,1.785329835,KEGG
K00528,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],0.61,1.785329835,KEGG
K24990,"RNA-binding motif, single-stranded-interacting protein",0.61,1.785329835,KEGG
K09638,transmembrane protease serine 7 [EC:3.4.21.-],0.61,1.785329835,KEGG
K18838,cytoskeleton bundling-enhancing protein CbeA and related proteins,0.61,1.785329835,KEGG
K22815,octopamine/tyramine receptor,0.61,1.785329835,KEGG
K09650,rhomboid-like protein [EC:3.4.21.105],0.61,1.785329835,KEGG
K17078,2'-N-acetylparomamine deacetylase / 2'''-acetyl-6'''-hydroxyneomycin deacetylase [EC:3.5.1.112 3.5.1.113],0.61,1.785329835,KEGG
K04913,potassium channel subfamily K member 2,0.61,1.785329835,KEGG
K22857,EEF1A lysine methyltransferase 4 [EC:2.1.1.-],0.61,1.785329835,KEGG
K26748,"MFS transporter, AAHS family, 2,4-dichlorophenoxyacetate transporter",0.61,1.785329835,KEGG
K08376,neuropeptide S receptor,0.61,1.785329835,KEGG
K08390,lysophosphatidic acid receptor 5,0.61,1.785329835,KEGG
K17584,phosphorylated CTD-interacting factor 1,0.61,1.785329835,KEGG
K21570,putidaredoxin---NAD+ reductase [EC:1.18.1.5],0.61,1.785329835,KEGG
K07554,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s",0.61,1.785329835,KEGG
K25490,22-hydroxycholesterol 26-hydroxylase [EC:1.14.14.-],0.61,1.785329835,KEGG
K01045,arylesterase / paraoxonase [EC:3.1.1.2 3.1.8.1],0.61,1.785329835,KEGG
K10245,fatty acid elongase 2 [EC:2.3.1.199],0.61,1.785329835,KEGG
K20770,(+)-delta-cadinene 8-hydroxylase [EC:1.14.-.-],0.61,1.785329835,KEGG
K19828,mitochondrial GTPase 1,0.61,1.785329835,KEGG
K23810,(E)-8-carboxylinalool synthase [EC:1.14.14.-],0.61,1.785329835,KEGG
K04134,muscarinic acetylcholine receptor,0.61,1.785329835,KEGG
K02012,iron(III) transport system substrate-binding protein,0.61,1.785329835,KEGG
K21714,psoralen synthase [EC:1.14.14.141],0.61,1.785329835,KEGG
K21715,angelicin synthase [EC:1.14.14.148],0.61,1.785329835,KEGG
K03351,anaphase-promoting complex subunit 4,0.61,1.785329835,KEGG
K12543,"outer membrane protein, adhesin transport system",0.61,1.785329835,KEGG
K07251,thiamine kinase [EC:2.7.1.89],0.61,1.785329835,KEGG
K26978,zinc finger protein 526/574,0.61,1.785329835,KEGG
K19042,E3 ubiquitin-protein ligase BOI and related proteins [EC:2.3.2.27],0.61,1.785329835,KEGG
K11737,D-serine/D-alanine/glycine transporter,0.61,1.785329835,KEGG
K20496,laurate 7-monooxygenase [EC:1.14.14.130],0.61,1.785329835,KEGG
K05605,3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4],0.61,1.785329835,KEGG
K13080,flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase [EC:2.4.1.236],0.61,1.785329835,KEGG
K04390,tumor necrosis factor receptor superfamily member 6,0.61,1.785329835,KEGG
K25818,nucleolar and coiled-body phosphoprotein 1,0.61,1.785329835,KEGG
K07443,methylated-DNA-protein-cysteine methyltransferase related protein,0.61,1.785329835,KEGG
K24502,Fez family zinc finger protein,0.61,1.785329835,KEGG
K20624,12-hydroxyjasmonoyl-L-amino acid 12-hydroxylase / fatty acid hydroxylase [EC:1.14.14.49],0.61,1.785329835,KEGG
K07489,transposase,0.61,1.785329835,KEGG
K19235,"L,D-transpeptidase YbiS",0.61,1.785329835,KEGG
K15814,beta-amyrin 24-hydroxylase [EC:1.14.14.134],0.61,1.785329835,KEGG
K01414,oligopeptidase A [EC:3.4.24.70],0.61,1.785329835,KEGG
K20662,gibberellin 13-/12alpha-oxidase [EC:1.14.-.-],0.61,1.785329835,KEGG
K20663,"gibberellin 16alpha,17-epoxidase [EC:1.14.-.-]",0.61,1.785329835,KEGG
K11932,universal stress protein G,0.61,1.785329835,KEGG
K15826,sesquiterpenoid omega-hydroxylase,0.61,1.785329835,KEGG
K00114,alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],0.61,1.785329835,KEGG
K11969,ariadne-2 [EC:2.3.2.31],0.61,1.785329835,KEGG
K10197,glucose/arabinose transport system permease protein,0.61,1.785329835,KEGG
K01488,adenosine deaminase [EC:3.5.4.4],0.61,1.785329835,KEGG
K01489,cytidine deaminase [EC:3.5.4.5],0.61,1.785329835,KEGG
K19769,stress-induced protein 1,0.61,1.785329835,KEGG
K18938,"TetR/AcrR family transcriptional regulator, repressor for qacA",0.61,1.785329835,KEGG
K03255,protein TIF31,0.6,1.77815125,KEGG
K22955,acyl homoserine lactone synthase [EC:2.3.1.184],0.6,1.77815125,KEGG
K17685,cytochrome P450 family 2 subfamily A13 [EC:1.14.14.1],0.6,1.77815125,KEGG
K03770,peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8],0.6,1.77815125,KEGG
K15548,p-hydroxybenzoic acid efflux pump subunit AaeA,0.6,1.77815125,KEGG
K15093,(+)-menthofuran synthase [EC:1.14.14.143],0.6,1.77815125,KEGG
K15099,geraniol 8-hydroxylase [EC:1.14.14.83],0.6,1.77815125,KEGG
K20867,galacturonosyltransferase 12/13/14/15 [EC:2.4.1.-],0.6,1.77815125,KEGG
K01629,rhamnulose-1-phosphate aldolase [EC:4.1.2.19],0.6,1.77815125,KEGG
K14700,"solute carrier family 26 (sulfate anion transporter), member 1",0.6,1.77815125,KEGG
K18131,"MarR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon",0.6,1.77815125,KEGG
K01647,citrate synthase [EC:2.3.3.1],0.6,1.77815125,KEGG
K19956,L-sorbose 1-phosphate reductase [EC:1.1.1.-],0.6,1.77815125,KEGG
K22618,ornithine lipid hydroxylase,0.6,1.77815125,KEGG
K00824,D-alanine transaminase [EC:2.6.1.21],0.6,1.77815125,KEGG
K22635,ferruginol monooxygenase / sugiol synthase [EC:1.14.14.60 1.14.14.65],0.6,1.77815125,KEGG
K09475,outer membrane pore protein C,0.6,1.77815125,KEGG
K08171,"MFS transporter, OPA family, solute carrier family 37 (glycerol-6-phosphate transporter), member 4",0.6,1.77815125,KEGG
K12172,E3 SUMO-protein ligase RanBP2 [EC:2.3.2.-],0.6,1.77815125,KEGG
K12638,3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147],0.6,1.77815125,KEGG
K06015,N-acyl-D-amino-acid deacylase [EC:3.5.1.81],0.6,1.77815125,KEGG
K07346,fimbrial chaperone protein,0.6,1.77815125,KEGG
K07351,fimbrial protein,0.6,1.77815125,KEGG
K24411,oxazoline/thiazoline synthase [EC:6.2.2.2 6.2.2.3],0.6,1.77815125,KEGG
K08693,"2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]",0.6,1.77815125,KEGG
K19115,CRISPR-associated protein Csh2,0.6,1.77815125,KEGG
K15241,tetrachlorohydroquinone reductive dehalogenase [EC:1.21.4.5],0.6,1.77815125,KEGG
K12686,outer membrane lipase/esterase,0.6,1.77815125,KEGG
K10523,speckle-type POZ protein,0.6,1.77815125,KEGG
K24927,tetratricopeptide repeat protein 4,0.6,1.77815125,KEGG
K24928,tetratricopeptide repeat protein 5,0.6,1.77815125,KEGG
K11868,indoleacetaldoxime dehydratase [EC:4.8.1.3],0.6,1.77815125,KEGG
K19632,CDP-abequose synthase [EC:1.1.1.341],0.6,1.77815125,KEGG
K18318,"carbapenem biosynthesis protein, putative proline dehydrogenase [EC:1.5.-.-]",0.6,1.77815125,KEGG
K00045,mannitol 2-dehydrogenase [EC:1.1.1.67],0.6,1.77815125,KEGG
K22317,acyl-CoA:acyl-CoA alkyltransferase [EC:2.3.3.20],0.6,1.77815125,KEGG
K14939,cytochrome P450 family 307 subfamily A,0.6,1.77815125,KEGG
K18856,D-alanine---D-serine ligase [EC:6.3.2.35],0.6,1.77815125,KEGG
K22878,cytochrome P450 daf-9 [EC:1.14.15.15],0.6,1.77815125,KEGG
K21572,"starch-binding outer membrane protein, SusD/RagB family",0.6,1.77815125,KEGG
K16280,E3 ubiquitin-protein ligase RGLG [EC:2.3.2.27],0.6,1.77815125,KEGG
K24179,cytochrome P450 family 72 subfamily A61 [EC:1.14.14.-],0.6,1.77815125,KEGG
K24635,SET and MYND domain-containing protein 5 [EC:2.1.1.-],0.6,1.77815125,KEGG
K12883,nuclear cap-binding protein subunit 2,0.6,1.77815125,KEGG
K12887,heterogeneous nuclear ribonucleoprotein M,0.6,1.77815125,KEGG
K23806,alpha-guaiene 2-oxidase,0.6,1.77815125,KEGG
K23808,cytochrome P450 family 72 subfamily A67 [EC:1.14.13.-],0.6,1.77815125,KEGG
K23809,cytochrome P450 family 72 subfamily A68 [EC:1.14.14.-],0.6,1.77815125,KEGG
K04139,adrenergic receptor alpha-2B,0.6,1.77815125,KEGG
K21206,(-)-4'-demethyl-deoxypodophyllotoxin 4-hydroxylase [EC:1.14.14.132],0.6,1.77815125,KEGG
K22077,ganglioside-induced differentiation-associated protein 1,0.6,1.77815125,KEGG
K09837,carotenoid epsilon hydroxylase [EC:1.14.14.158],0.6,1.77815125,KEGG
K00795,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],0.6,1.77815125,KEGG
K16433,hydroxylation protein CepL,0.6,1.77815125,KEGG
K02035,peptide/nickel transport system substrate-binding protein,0.6,1.77815125,KEGG
K25671,fructooligosaccharide transport system permease protein,0.6,1.77815125,KEGG
K20495,long-chain fatty acid omega-monooxygenase [EC:1.14.14.80],0.6,1.77815125,KEGG
K00406,cytochrome c oxidase cbb3-type subunit III,0.6,1.77815125,KEGG
K05158,tumor necrosis factor receptor superfamily member 22,0.6,1.77815125,KEGG
K14350,arylacetamide deacetylase-like 2 [EC:3.1.1.-],0.6,1.77815125,KEGG
K24873,heptaprenyl diphosphate synthase component 2 [EC:2.5.1.30],0.6,1.77815125,KEGG
K13043,N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11],0.6,1.77815125,KEGG
K01775,alanine racemase [EC:5.1.1.1],0.6,1.77815125,KEGG
K07410,cytochrome P450 family 1 subfamily B1 [EC:1.14.14.1],0.6,1.77815125,KEGG
K02205,arginine/ornithine permease,0.6,1.77815125,KEGG
K03070,preprotein translocase subunit SecA [EC:7.4.2.8],0.6,1.77815125,KEGG
K12274,translocation protein SEC72,0.6,1.77815125,KEGG
K21496,toxin [EC:3.1.-.-],0.6,1.77815125,KEGG
K14005,protein transport protein SEC31,0.6,1.77815125,KEGG
K20665,jasmonoyl-L-amino acid 12-hydroxylase [EC:1.14.14.48],0.6,1.77815125,KEGG
K06189,hemolysin (HlyC) family protein,0.6,1.77815125,KEGG
K15831,formate hydrogenlyase subunit 6,0.6,1.77815125,KEGG
K14520,4-hydroxyacetophenone monooxygenase [EC:1.14.13.84],0.6,1.77815125,KEGG
K23267,serum amyloid P component,0.6,1.77815125,KEGG
K21116,cytochrome P450 family 112 subfamily A,0.6,1.77815125,KEGG
K26349,alpha-L-rhamnosyl-(1->4)-beta-D-glucuronate lyase [EC:4.2.2.28],0.6,1.77815125,KEGG
K17645,averantin hydroxylase [EC:1.14.14.116],0.59,1.770852012,KEGG
K25093,SAFB-like transcription modulator,0.59,1.770852012,KEGG
K13400,secologanin synthase [EC:1.14.19.62],0.59,1.770852012,KEGG
K13407,fatty acid omega-hydroxylase [EC:1.14.-.-],0.59,1.770852012,KEGG
K04226,arginine vasopressin receptor 1A,0.59,1.770852012,KEGG
K01675,fumarate hydratase D [EC:4.2.1.2],0.59,1.770852012,KEGG
K19977,ADP-ribosyltransferase 5 [EC:2.4.2.31],0.59,1.770852012,KEGG
K08141,"MFS transporter, SP family, general alpha glucoside:H+ symporter",0.59,1.770852012,KEGG
K00831,phosphoserine aminotransferase [EC:2.6.1.52],0.59,1.770852012,KEGG
K04282,thyrotropin-releasing hormone receptor,0.59,1.770852012,KEGG
K13470,disease resistance protein,0.59,1.770852012,KEGG
K22691,drimenol monooxygenase [EC:1.14.14.72],0.59,1.770852012,KEGG
K16074,zinc transporter,0.59,1.770852012,KEGG
K25271,tyramine oxidase subunit A [EC:1.4.3.-],0.59,1.770852012,KEGG
K12655,OTU domain-containing protein 5 [EC:3.4.19.12],0.59,1.770852012,KEGG
K12665,cytochrome P450 family 26 subfamily C [EC:1.14.14.-],0.59,1.770852012,KEGG
K23135,flavanone 2-hydroxylase [EC:1.14.14.162],0.59,1.770852012,KEGG
K24924,receptor-associated protein of the synapse,0.59,1.770852012,KEGG
K22312,hydroxyjasmonate sulfotransferase [EC:2.8.2.39],0.59,1.770852012,KEGG
K18368,caffeoylshikimate esterase [EC:3.1.1.-],0.59,1.770852012,KEGG
K18837,cytoskeleton-binding toxin CbtA and related proteins,0.59,1.770852012,KEGG
K22811,thalian-diol desaturase,0.59,1.770852012,KEGG
