#ncbi_accession	source_identifier	label	sequence_cutoff	domain_cutoff	hmm_length	family_type	for_structural_annotation	for_naming	for_AMRFinder	product_name	gene_symbol	gene_synonyms	ec_numbers	go_terms	pmids	taxonomic_range	taxonomic_range_name	taxonomic_rank_name	n_refseq_protein_hits	source	name_orig	hmm_name	comment
NF012731.7	PF00521.26	DNA_topoisoIV	31	31	432	domain	Y	Y	N	DNA gyrase subunit A				GO:0003677,GO:0003918,GO:0005524,GO:0006265	8538787	131567	cellular organisms	cellular root	180263	EBI-EMBL	DNA gyrase/topoisomerase IV, subunit A	DNA gyrase subunit A	This entry represents a domain found in type IIA topoisomerases, such as bacterial DNA topoisomerase IV (C subunit, ParC), bacterial DNA gyrases (A subunit, GyrA), and mammalian DNA toposiomerases II. DNA topoisomerases are essential enzymes that regulate the conformational changes in DNA topology by catalysing the concerted breakage and rejoining of DNA strands during normal cellular growth (PMID: 8538787). (from Pfam)
NF012738.6	PF00528.27	BPD_transp_1	26.4	26.4	184	domain	Y	Y	N	ABC transporter permease subunit				GO:0016020,GO:0055085		131567	cellular organisms	cellular root	3725871	EBI-EMBL	Binding-protein-dependent transport system inner membrane component	ABC transporter permease subunit	The alignments cover the most conserved region of the proteins, which is thought to be located in a cytoplasmic loop between two transmembrane domains. The members of this family have a variable number of transmembrane helices. (from Pfam)
NF012743.7	PF00533.33	BRCT	21.3	21.3	78	domain	Y	Y	N	BRCT domain-containing protein					11573086,14534301,15133503,15501676,8673121	131567	cellular organisms	cellular root	131955	EBI-EMBL	BRCA1 C Terminus (BRCT) domain	BRCA1 C Terminus (BRCT) domain	The BRCT domain is found predominantly in proteins involved in cell cycle checkpoint functions responsive to DNA damage. The BRCT domain of XRCC1 forms a homodimer in the crystal structure. This suggests that pairs of BRCT domains associate as homo- or heterodimers. BRCT domains are often found as tandem-repeat pairs (PMID: 15501676). Structures of the BRCA1 BRCT domains revealed a basis for a widely utilised head-to-tail BRCT-BRCT oligomerisation mode (PMID: 11573086). This conserved tandem BRCT architecture facilitates formation of the canonical BRCT phospho-peptide interaction cleft at a groove between the BRCT domains. Disease associated missense and nonsense mutations in the BRCA1 BRCT domains disrupt peptide binding by directly occluding this peptide binding groove, or by disrupting key conserved BRCT core folding determinants (PMID: 14534301). (from Pfam)
NF012744.6	PF00534.26	Glycos_transf_1	26.4	26.4	172	domain	Y	Y	N	glycosyltransferase			2.4.-.-	GO:0016757		131567	cellular organisms	cellular root	1252794	EBI-EMBL	Glycosyl transferases group 1	glycosyltransferase	Mutations in this domain of Swiss:P37287 lead to disease (Paroxysmal Nocturnal haemoglobinuria). Members of this family transfer activated sugars to a variety of substrates, including glycogen, Fructose-6-phosphate and lipopolysaccharides. Members of this family transfer UDP, ADP, GDP or CMP linked sugars. The eukaryotic glycogen synthases may be distant members of this family. (from Pfam)
NF012745.7	PF00535.33	Glycos_transf_2	23.3	23.3	168	domain	Y	Y	N	glycosyltransferase			2.4.-.-			131567	cellular organisms	cellular root	1413629	EBI-EMBL	Glycosyl transferase family 2	glycosyltransferase	Diverse family, transferring sugar from UDP-glucose, UDP-N-acetyl- galactosamine, GDP-mannose or CDP-abequose, to a range of substrates including cellulose, dolichol phosphate and teichoic acids. (from Pfam)
NF012752.6	PF00542.24	Ribosomal_L12	25.9	25.9	67	PfamEq	Y	Y	N	ribosomal protein L7/L12				GO:0003735,GO:0006412	3309338	131567	cellular organisms	cellular root	44681	EBI-EMBL	Ribosomal protein L7/L12 C-terminal domain	Ribosomal protein L7/L12 C-terminal domain	
NF012753.6	PF00543.27	P-II	25	25	102	domain	Y	Y	N	P-II family nitrogen regulator				GO:0006808,GO:0030234	16754965,7866749	131567	cellular organisms	cellular root	55442	EBI-EMBL	Nitrogen regulatory protein P-II	P-II family nitrogen regulator	P-II modulates the activity of glutamine synthetase. It is a tetrameric protein encoded by the glnB gene, a component of the adenylation cascade involved in the regulation of GS activity [1,2]. (from Pfam)
NF012755.6	PF00545.25	Ribonuclease	24	24	98	domain	Y	Y	N	ribonuclease domain-containing protein				GO:0003723,GO:0004521	8110767	131567	cellular organisms	cellular root	24308	EBI-EMBL	ribonuclease	ribonuclease	This enzyme hydrolyses RNA and oligoribonucleotides. (from Pfam)
NF012756.6	PF00547.23	Urease_gamma	23.9	23.9	99	domain	Y	Y	N	urease subunit gamma			3.5.1.5	GO:0016151,GO:0043419	7754395	131567	cellular organisms	cellular root	28607	EBI-EMBL	Urease, gamma subunit	urease subunit gamma	Urease is a nickel-binding enzyme that catalyses the hydrolysis of urea to carbon dioxide and ammonia. (from Pfam)
NF012758.6	PF00549.24	Ligase_CoA	24.5	24.5	128	domain	Y	N	N	CoA-ligase				GO:0003824	8144675	131567	cellular organisms	cellular root	117533	EBI-EMBL	CoA-ligase	CoA-ligase	This family includes the CoA ligases Succinyl-CoA synthetase alpha and beta chains, malate CoA ligase and ATP-citrate lyase. Some members of the family utilise ATP others use GTP. (from Pfam)
NF012759.6	PF00550.31	PP-binding	20.8	20.8	67	domain	Y	Y	N	phosphopantetheine-binding protein						131567	cellular organisms	cellular root	1059578	EBI-EMBL	Phosphopantetheine attachment site	phosphopantetheine attachment domain	A 4'-phosphopantetheine prosthetic group is attached through a serine. This prosthetic group acts as a a 'swinging arm' for the attachment of activated fatty acid and amino-acid groups. This domain forms a four helix bundle. This family includes members not included in Prosite. The inclusion of these members is supported by sequence analysis and functional evidence. The related domain of Swiss:P19828 has the attachment serine replaced by an alanine. (from Pfam)
NF012760.6	PF00551.24	Formyl_trans_N	26.1	26.1	181	domain	Y	Y	N	formyltransferase family protein				GO:0009058,GO:0016742	1522592	131567	cellular organisms	cellular root	271173	EBI-EMBL	Formyl transferase	formyltransferase-like domain	Many but not all members of this family are formyltransferases or deformylases, including hosphoribosylglycinamide formyltransferase 1 (EC 2.1.2.2), methionyl-tRNA formyltransferase (EC 2.1.2.9), and formyltetrahydrofolate deformylase (EC 3.5.1.1).
NF012762.6	PF00553.25	CBM_2	24	24	101	domain	Y	Y	N	cellulose binding domain-containing protein				GO:0004553,GO:0005975,GO:0030246	7766609	131567	cellular organisms	cellular root	126420	EBI-EMBL	Cellulose binding domain	Cellulose binding domain	Two tryptophan residues are involved in cellulose binding. Cellulose binding domain found in bacteria. (from Pfam)
NF012766.6	PF00557.29	Peptidase_M24	23	23	208	domain	Y	Y	N	M24 family metallopeptidase					18579787,7674922,8471602	131567	cellular organisms	cellular root	391152	EBI-EMBL	Metallopeptidase family M24	M24 family metallopeptidase	This family contains metallopeptidases. It also contains non-peptidase homologues such as the N terminal domain of Spt16 which is a histone H3-H4 binding module (PMID: 18579787). (from Pfam)
NF012769.6	PF00560.39	LRR_1	20.6	9.3	23	repeat	Y	N	N	leucine-rich repeat protein				GO:0005515	7817399,8264799	131567	cellular organisms	cellular root	45737	EBI-EMBL	Leucine Rich Repeat	leucine-rich repeat	CAUTION: This Pfam may not find all Leucine Rich Repeats in a protein. Leucine Rich Repeats are short sequence motifs present in a number of proteins with diverse functions and cellular locations. These repeats are usually involved in protein-protein interactions. Each Leucine Rich Repeat is composed of a beta-alpha unit. These units form elongated non-globular structures. Leucine Rich Repeats are often flanked by cysteine rich domains. (from Pfam)
NF012770.6	PF00561.26	Abhydrolase_1	25.8	25.8	245	subfamily	Y	Y	N	alpha/beta fold hydrolase					1409539	131567	cellular organisms	cellular root	2232752	EBI-EMBL	alpha/beta hydrolase fold	alpha/beta fold hydrolase	This catalytic domain is found in a very wide range of enzymes. (from Pfam)
NF012771.6	PF00562.33	RNA_pol_Rpb2_6	23.4	23.4	373	PfamEq	Y	N	N	RNA polymerase Rpb2, domain 6				GO:0003677,GO:0003899,GO:0006351	11313498	131567	cellular organisms	cellular root	76260	EBI-EMBL	RNA polymerase Rpb2, domain 6	RNA polymerase Rpb2, domain 6	RNA polymerases catalyse the DNA dependent polymerisation of RNA. Prokaryotes contain a single RNA polymerase compared to three in eukaryotes (not including mitochondrial. and chloroplast polymerases). This domain represents the hybrid binding domain and the wall domain (PMID: 11313498). The hybrid binding domain binds the nascent RNA strand / template DNA strand in the Pol II transcription elongation complex. This domain contains the important structural motifs, switch 3 and the flap loop and binds an active site metal ion(PMID: 11313498). This domain is also involved in binding to Rpb1 and Rpb3 (PMID: 11313498). Many of the bacterial members contain large insertions within this domain, as region known as dispensable region 2 (DRII). (from Pfam)
NF012774.6	PF00565.23	SNase	21	21	107	domain	Y	Y	N	thermonuclease family protein					9003410,9041650	131567	cellular organisms	cellular root	64969	EBI-EMBL	Staphylococcal nuclease homologue	thermonuclease family protein	Present in all three domains of cellular life. Four copies in the transcriptional coactivator p100: these, however, appear to lack the active site residues of Staphylococcal nuclease. Positions 14 (Asp-21), 34 (Arg-35), 39 (Asp-40), 42 (Glu-43) and 110 (Arg-87) [SNase numbering in parentheses] are thought to be involved in substrate-binding and catalysis. (from Pfam)
NF012779.6	PF00570.28	HRDC	23.8	23.8	68	domain	Y	Y	N	HRDC domain-containing protein				GO:0003676	10647186,15990871,17085080,9397680	131567	cellular organisms	cellular root	148551	EBI-EMBL	HRDC domain	HRDC domain	The HRDC (Helicase and RNase D C-terminal) domain has a putative role in nucleic acid binding. Mutations in the HRDC domain cause human disease. It is interesting to note that the RecQ helicase in Deinococcus radiodurans has three tandem HRDC domains (PMID: 17085080). (from Pfam)
NF012780.6	PF00571.33	CBS	24	16.5	57	domain	Y	Y	N	CBS domain-containing protein					10200156,11524006,14722609,14722619,9020585,9106071	131567	cellular organisms	cellular root	796147	EBI-EMBL	CBS domain	CBS domain	CBS domains are small intracellular modules that pair together to form a stable globular domain (PMID: 10200156). This family represents a single CBS domain. Pairs of these domains have been termed a Bateman domain (PMID: 14722609). CBS domains have been shown to bind ligands with an adenosyl group such as AMP, ATP and S-AdoMet (PMID: 14722619). CBS domains are found attached to a wide range of other protein domains suggesting that CBS domains may play a regulatory role making proteins sensitive to adenosyl carrying ligands. The region containing the CBS domains in Cystathionine-beta synthase is involved in regulation by S-AdoMet (PMID: 11524006). CBS domain pairs from AMPK bind AMP or ATP (PMID: 14722619). The CBS domains from IMPDH and the chloride channel CLC2 bind ATP (PMID: 14722619). (from Pfam)
NF012781.7	PF00572.24	Ribosomal_L13	23.8	23.8	119	PfamEq	Y	Y	N	uL13 family ribosomal protein				GO:0003735,GO:0005840,GO:0006412		131567	cellular organisms	cellular root	36425	EBI-EMBL	Ribosomal protein L13	uL13 family ribosomal protein	
NF012782.6	PF00573.27	Ribosomal_L4	25.8	25.8	190	PfamEq	Y	Y	N	50S ribosomal protein L4	rplD			GO:0003735,GO:0005840,GO:0006412	9838082	131567	cellular organisms	cellular root	45455	EBI-EMBL	Ribosomal protein L4/L1 family	50S ribosomal protein L4	This family includes Ribosomal L4/L1 from eukaryotes and archaebacteria and L4 from eubacteria. L4 from yeast has been shown to bind rRNA (PMID: 9838082). (from Pfam)
NF012783.6	PF00574.28	CLP_protease	20.2	20.2	182	domain	Y	Y	N	ATP-dependent Clp protease proteolytic subunit					9390554	131567	cellular organisms	cellular root	153702	EBI-EMBL	Clp protease	ATP-dependent Clp protease proteolytic subunit	The Clp protease has an active site catalytic triad. In E. coli Clp protease, ser-111, his-136 and asp-185 form the catalytic triad. Swiss:P48254 has lost all of these active site residues and is therefore inactive. Swiss:P42379 contains two large insertions, Swiss:P42380 contains one large insertion. (from Pfam)
NF012784.6	PF00575.29	S1	22	22	74	domain	Y	Y	N	S1 RNA-binding domain-containing protein				GO:0003676	9008164	131567	cellular organisms	cellular root	421433	EBI-EMBL	S1 RNA binding domain	S1 RNA binding domain	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure. (from Pfam)
NF012785.6	PF00576.27	Transthyretin	25.3	25.3	109	domain	Y	Y	N	hydroxyisourate hydrolase			3.5.2.17		16098976,16462750,16952372,8428915	131567	cellular organisms	cellular root	34845	EBI-EMBL	HIUase/Transthyretin family	hydroxyisourate hydrolase	This family includes transthyretin that is a thyroid hormone-binding protein that transports thyroxine from the bloodstream to the brain. However, most of the sequences listed in this family do not bind thyroid hormones. They are actually enzymes of the purine catabolism that catalyse the conversion of 5-hydroxyisourate (HIU) to OHCU [2,3]. HIU hydrolysis is the original function of the family and is conserved from bacteria to mammals; transthyretins arose by gene duplications in the vertebrate lineage (PMID: 16952372). HIUases are distinguished in the alignment from the conserved C-terminal YRGS sequence. (from Pfam)
NF012787.6	PF00578.27	AhpC-TSA	26	26	124	domain	Y	Y	N	redoxin domain-containing protein				GO:0016209,GO:0016491	8041738	131567	cellular organisms	cellular root	601036	EBI-EMBL	AhpC/TSA family	AhpC/TSA family	This family contains proteins related to alkyl hydroperoxide reductase (AhpC) and thiol specific antioxidant (TSA). (from Pfam)
NF012788.6	PF00579.31	tRNA-synt_1b	21.1	21.1	292	domain	Y	N	N	tRNA synthetases class I (W and Y)				GO:0000166,GO:0004812,GO:0005524,GO:0006418	7743129	131567	cellular organisms	cellular root	191751	EBI-EMBL	tRNA synthetases class I (W and Y)	tRNA synthetases class I (W and Y)	
NF012789.6	PF00580.27	UvrD-helicase	23	23	271	domain	Y	Y	N	UvrD-helicase domain-containing protein				GO:0005524	9288744	131567	cellular organisms	cellular root	540930	EBI-EMBL	UvrD/REP helicase N-terminal domain	UvrD/REP helicase N-terminal domain	The Rep family helicases are composed of four structural domains. The Rep family function as dimers. REP helicases catalyse ATP dependent unwinding of double stranded DNA to single stranded DNA. Swiss:P23478, Swiss:P08394 have large insertions near to the carboxy-terminus relative to other members of the family. (from Pfam)
NF012790.6	PF00581.25	Rhodanese	22.2	22.2	102	domain	Y	Y	N	rhodanese-like domain-containing protein					8702871	131567	cellular organisms	cellular root	505034	EBI-EMBL	Rhodanese-like domain	rhodanese-like domain	Rhodanese has an internal duplication. This Pfam represents a single copy of this duplicated domain. The domain is found as a single copy in other proteins, including phosphatases and ubiquitin C-terminal hydrolases. (from Pfam)
NF012791.6	PF00582.32	Usp	24	24	141	domain	Y	Y	N	universal stress protein					11738040,8152377,9860944	131567	cellular organisms	cellular root	425085	EBI-EMBL	Universal stress protein family	universal stress protein	The universal stress protein UspA Swiss:P28242 (PMID: 8152377) is a small cytoplasmic bacterial protein whose expression is enhanced when the cell is exposed to stress agents. UspA enhances the rate of cell survival during prolonged exposure to such conditions, and may provide a general "stress endurance" activity. The crystal structure of Haemophilus influenzae UspA (PMID: 11738040) reveals an alpha/beta fold similar to that of the Methanococcus jannaschii MJ0577 protein, which binds ATP (PMID: 9860944), though UspA lacks ATP-binding activity. (from Pfam)
NF012792.6	PF00583.31	Acetyltransf_1	20.7	20.7	116	subfamily	Y	Y	N	GNAT family N-acetyltransferase			2.3.1.-	GO:0016747	11893502,9175471	131567	cellular organisms	cellular root	2856924	EBI-EMBL	Acetyltransferase (GNAT) family	GNAT family N-acetyltransferase	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins. (from Pfam)
NF012793.6	PF00584.25	SecE	22.7	22.7	55	PfamEq	Y	Y	N	preprotein translocase subunit SecE				GO:0006605,GO:0006886,GO:0016020	9393849	131567	cellular organisms	cellular root	40398	EBI-EMBL	SecE/Sec61-gamma subunits of protein translocation complex	preprotein translocase subunit SecE	SecE is part of the SecYEG complex in bacteria which translocates proteins from the cytoplasm. In eukaryotes the complex, made from Sec61-gamma and Sec61-alpha translocates protein from the cytoplasm to the ER. Archaea have a similar complex. (from Pfam)
NF012795.6	PF00586.29	AIRS	24	15	112	domain	Y	Y	N	AIR synthase related protein					10508786	131567	cellular organisms	cellular root	269511	EBI-EMBL	AIR synthase related protein, N-terminal domain	AIR synthase related protein, N-terminal domain	This family includes Hydrogen expression/formation protein HypE Swiss:P24193, AIR synthases Swiss:P08178 EC:6.3.3.1, FGAM synthase Swiss:P35852 EC:6.3.5.3 and selenide, water dikinase Swiss:P16456 EC:2.7.9.3. The N-terminal domain of AIR synthase forms the dimer interface of the protein, and is suggested as a putative ATP binding domain (PMID: 10508786). (from Pfam)
NF012796.6	PF00587.30	tRNA-synt_2b	29.3	29.3	179	domain	Y	Y	N	aminoacyl--tRNA ligase-related protein				GO:0000166,GO:0004812,GO:0005524,GO:0006418	10447505,7552701	131567	cellular organisms	cellular root	381342	EBI-EMBL	tRNA synthetase class II core domain (G, H, P, S and T)	aminoacyl--tRNA ligase class II core domain (G, H, P, S and T)	This HMM finds multiple types of aminoacyl--tRNA ligase, such as those for Thr, Pro, His, and Ser in Escherichia coli. Because equivalog-level HMMs exist to identify full-length members of the tRNA ligase families, any protein receiving annotation from this HMM is most likely to be either a partial sequence or a tRNA ligase-related protein involved in some process other than protein translation on the ribosome.
NF012797.6	PF00588.24	SpoU_methylase	29.7	29.7	142	domain	Y	Y	N	TrmH family RNA methyltransferase				GO:0003723,GO:0006396,GO:0008173	8265370,9321663	131567	cellular organisms	cellular root	301925	EBI-EMBL	SpoU rRNA Methylase family	TrmH family RNA methyltransferase	This family of proteins probably use S-AdoMet. (from Pfam)
NF012798.6	PF00589.27	Phage_integrase	27.1	27.1	172	domain	Y	Y	N	tyrosine-type recombinase/integrase				GO:0003677,GO:0006310,GO:0015074	9082984,9288963	131567	cellular organisms	cellular root	1057333	EBI-EMBL	Phage integrase family	tyrosine-type recombinase/integrase	Members of this family cleave DNA substrates by a series of staggered cuts, during which the protein becomes covalently linked to the DNA through a catalytic tyrosine residue at the carboxy end of the alignment. The catalytic site residues in CRE recombinase (Swiss:P06956) are Arg-173, His-289, Arg-292 and Tyr-324. (from Pfam)
NF012799.6	PF00590.25	TP_methylase	27.8	27.8	212	domain	Y	Y	N	SAM-dependent methyltransferase				GO:0008168		131567	cellular organisms	cellular root	402978	EBI-EMBL	Tetrapyrrole (Corrin/Porphyrin) Methylases	SAM-dependent methyltransferase	This family uses S-AdoMet in the methylation of diverse substrates. This family includes a related group of bacterial proteins of unknown function, including Swiss:P45528. This family includes the methylase Dipthine synthase. (from Pfam)
NF012800.7	PF00591.27	Glycos_transf_3	27	27	253	domain	Y	N	N	Glycosyl transferase family, a/b domain				GO:0016757	2199449	131567	cellular organisms	cellular root	142469	EBI-EMBL	Glycosyl transferase family, a/b domain	Glycosyl transferase family, a/b domain	This family includes anthranilate phosphoribosyltransferase (TrpD), thymidine phosphorylase. All these proteins can transfer a phosphorylated ribose substrate. (from Pfam)
NF012803.6	PF00595.29	PDZ	23.2	23.2	81	domain	Y	Y	N	PDZ domain-containing protein				GO:0005515	19738200,8674113,9041651,9204764	131567	cellular organisms	cellular root	336290	EBI-EMBL	PDZ domain	PDZ domain	PDZ domains are found in diverse signaling proteins. (from Pfam)
NF012804.7	PF00596.27	Aldolase_II	22.2	22.2	183	domain	Y	Y	N	class II aldolase/adducin family protein					8515438,8676381	131567	cellular organisms	cellular root	180567	EBI-EMBL	Class II Aldolase and Adducin N-terminal domain	Class II Aldolase and Adducin N-terminal domain	This family includes class II aldolases and adducins which have not been ascribed any enzymatic function. (from Pfam)
NF012821.6	PF00614.28	PLDc	21.9	21.9	28	domain	Y	N	N	Phospholipase D Active site motif				GO:0003824	10074947,8051126,8732763,8755242,9242915	131567	cellular organisms	cellular root	128517	EBI-EMBL	Phospholipase D Active site motif	Phospholipase D Active site motif	Phosphatidylcholine-hydrolysing phospholipase D (PLD) isoforms are activated by ADP-ribosylation factors (ARFs). PLD produces phosphatidic acid from phosphatidylcholine, which may be essential for the formation of certain types of transport vesicles or may be constitutive vesicular transport to signal transduction pathways. PC-hydrolysing PLD is a homologue of cardiolipin synthase, phosphatidylserine synthase, bacterial PLDs, and viral proteins. Each of these appears to possess a domain duplication which is apparent by the presence of two motifs containing well-conserved histidine, lysine, and/or asparagine residues which may contribute to the active site. aspartic acid. An E. coli endonuclease (nuc) and similar proteins appear to be PLD homologues but possess only one of these motifs. The profile contained here represents only the putative active site regions, since an accurate multiple alignment of the repeat units has not been achieved. (from Pfam)
NF012830.6	PF00623.25	RNA_pol_Rpb1_2	25.3	25.3	166	PfamEq	Y	N	N	RNA polymerase Rpb1, domain 2				GO:0003677,GO:0003899,GO:0006351	11313498,8910400	131567	cellular organisms	cellular root	75476	EBI-EMBL	RNA polymerase Rpb1, domain 2	RNA polymerase Rpb1, domain 2	RNA polymerases catalyse the DNA dependent polymerisation of RNA. Prokaryotes contain a single RNA polymerase compared to three in eukaryotes (not including mitochondrial. and chloroplast polymerases). This domain, domain 2, contains the active site. The invariant motif -NADFDGD- binds the active site magnesium ion [1,2]. (from Pfam)
NF012832.6	PF00625.27	Guanylate_kin	25.2	25.2	182	domain	Y	N	N	Guanylate kinase					1314905	131567	cellular organisms	cellular root	66154	EBI-EMBL	Guanylate kinase	Guanylate kinase	
NF012837.6	PF00630.25	Filamin	26.9	26.9	93	domain	Y	Y	N	filamin/ABP280 repeat domain-containing protein					9164464	131567	cellular organisms	cellular root	190	EBI-EMBL	Filamin/ABP280 repeat	Filamin/ABP280 repeat	
NF012840.6	PF00633.29	HHH	24	24	30	domain	Y	N	N	Helix-hairpin-helix motif				GO:0003677	10908318,12832627,18439896,8692686,8832889	131567	cellular organisms	cellular root	223556	EBI-EMBL	Helix-hairpin-helix motif	Helix-hairpin-helix motif	The helix-hairpin-helix DNA-binding motif is found to be duplicated in the central domain of RuvA (PMID: 8832889). The HhH domain of DisA, a bacterial checkpoint control protein, is a DNA-binding domain (PMID: 18439896). (from Pfam)
NF012843.6	PF00636.31	Ribonuclease_3	27	27	102	domain	Y	Y	N	ribonuclease III domain-containing protein				GO:0004525,GO:0006396	26748718	131567	cellular organisms	cellular root	74014	EBI-EMBL	Ribonuclease III domain	Ribonuclease III domain	
NF012846.6	PF00639.27	Rotamase	21.7	21.7	97	domain	Y	Y	N	peptidylprolyl isomerase			5.2.1.8	GO:0003755		131567	cellular organisms	cellular root	151342	EBI-EMBL	PPIC-type PPIASE domain	PPIC-type PPIASE domain	Rotamases increase the rate of protein folding by catalysing the interconversion of cis-proline and trans-proline. (from Pfam)
NF012848.6	PF00641.23	Zn_ribbon_RanBP	27	17	30	domain	Y	Y	N	zinc finger protein					18611384	131567	cellular organisms	cellular root	228	EBI-EMBL	Zn-finger in Ran binding protein and others	zinc finger protein	
NF012850.6	PF00643.29	zf-B_box	24.1	24.1	42	domain	Y	Y	N	B-box zinc finger protein				GO:0008270		131567	cellular organisms	cellular root	691	EBI-EMBL	B-box zinc finger	B-box zinc finger protein	
NF012855.6	PF00648.27	Peptidase_C2	23.8	23.8	297	domain	Y	Y	N	C2 family cysteine protease				GO:0004198,GO:0006508		131567	cellular organisms	cellular root	2889	EBI-EMBL	Calpain family cysteine protease	calpain-like cysteine protease domain	
NF012859.6	PF00652.28	Ricin_B_lectin	29	29	126	domain	Y	Y	N	ricin-type beta-trefoil lectin domain protein						131567	cellular organisms	cellular root	194686	EBI-EMBL	Ricin-type beta-trefoil lectin domain	Ricin-type beta-trefoil lectin domain	
NF012861.6	PF00654.25	Voltage_CLC	24.8	24.8	346	domain	Y	Y	N	chloride channel protein				GO:0005247,GO:0006821,GO:0016020,GO:0055085	11182894,8857733,9252364	131567	cellular organisms	cellular root	124438	EBI-EMBL	Voltage gated chloride channel	chloride channel protein	This family of ion channels contains 10 or 12 transmembrane helices. Each protein forms a single pore. It has been shown that some members of this family form homodimers. In terms of primary structure, they are unrelated to known cation channels or other types of anion channels. Three ClC subfamilies are found in animals. ClC-1 (Swiss:P35523) is involved in setting and restoring the resting membrane potential of skeletal muscle, while other channels play important parts in solute concentration mechanisms in the kidney (PMID: 11182894). These proteins contain two Pfam:PF00571 domains. (from Pfam)
NF012862.6	PF00656.27	Peptidase_C14	21.4	21.4	233	domain	Y	Y	N	caspase family protein				GO:0004197,GO:0006508	8035875	131567	cellular organisms	cellular root	79015	EBI-EMBL	Caspase domain	Caspase domain	
NF012863.6	PF00657.28	Lipase_GDSL	23.6	23.6	208	domain	Y	Y	N	SGNH/GDSL hydrolase family protein				GO:0016788	10801485,7610479	131567	cellular organisms	cellular root	369210	EBI-EMBL	GDSL-like Lipase/Acylhydrolase	SGNH/GDSL hydrolase family protein	
NF012868.7	PF00662.26	Proton_antipo_N	24.5	24.5	51	domain	Y	N	N	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus					1470679	131567	cellular organisms	cellular root	138179	EBI-EMBL	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	This entry represents an amino terminal extension of Pfam:PF00361. Only NADH-Ubiquinone chain 5 and eubacterial chain L are in this family. This sub-family is part of complex I which catalyses the transfer of two electrons from NADH to ubiquinone in a reaction that is associated with proton translocation across the membrane. (from Pfam)
NF012869.6	PF00664.28	ABC_membrane	28	21.7	274	domain	Y	Y	N	ABC transporter transmembrane domain-containing protein				GO:0005524,GO:0016020,GO:0042626,GO:0055085,GO:0140359		131567	cellular organisms	cellular root	1044891	EBI-EMBL	ABC transporter transmembrane region	ABC transporter transmembrane region	This family represents a unit of six transmembrane helices. Many members of the ABC transporter family (Pfam:PF00005) have two such regions. (from Pfam)
NF012870.6	PF00665.32	rve	32.6	32.6	102	domain	Y	Y	N	DDE-type integrase/transposase/recombinase				GO:0015074	7801124	131567	cellular organisms	cellular root	410787	EBI-EMBL	Integrase core domain	DDE-type integrase/transposase/recombinase	Integrase mediates integration of a DNA copy of the viral genome into the host chromosome. Integrase is composed of three domains. The amino-terminal domain is a zinc binding domain Pfam:PF02022. This domain is the central catalytic domain. The carboxyl terminal domain that is a non-specific DNA binding domain Pfam:PF00552. The catalytic domain acts as an endonuclease when two nucleotides are removed from the 3' ends of the blunt-ended viral DNA made by reverse transcription. This domain also catalyses the DNA strand transfer reaction of the 3' ends of the viral DNA to the 5' ends of the integration site (PMID: 7801124). (from Pfam)
NF012872.6	PF00667.26	FAD_binding_1	32.3	32.3	222	domain	Y	N	N	FAD binding domain				GO:0016491	7589518,7657631,8078947,9237990	131567	cellular organisms	cellular root	55187	EBI-EMBL	FAD binding domain	FAD binding domain	This domain is found in sulfite reductase, NADPH cytochrome P450 reductase, Nitric oxide synthase and methionine synthase reductase. This domain consists of a RIFT-like beta-barrel containing an inserted alpha-helical subdomain. (from Pfam)
NF012873.6	PF00668.25	Condensation	30.6	30.6	456	domain	Y	Y	N	condensation domain-containing protein				GO:0003824	9712910	131567	cellular organisms	cellular root	606259	EBI-EMBL	Condensation domain	condensation domain	This domain is found in many multi-domain enzymes which synthesise peptide antibiotics. This domain catalyses a condensation reaction to form peptide bonds in non- ribosomal peptide biosynthesis. It is usually found to the carboxy side of a phosphopantetheine binding domain (Pfam:PF00550). It has been shown that mutations in the HHXXXDG motif abolish activity suggesting this is part of the active site (PMID: 9712910). (from Pfam)
NF012875.6	PF00670.28	AdoHcyase_NAD	27	27	162	domain	Y	N	N	S-adenosyl-L-homocysteine hydrolase, NAD binding domain						131567	cellular organisms	cellular root	66708	EBI-EMBL	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	
NF012876.6	PF00672.30	HAMP	25	15	53	domain	Y	Y	N	HAMP domain-containing protein				GO:0007165,GO:0016020	10418137	131567	cellular organisms	cellular root	1461075	EBI-EMBL	HAMP domain	HAMP domain	
NF012877.6	PF00673.26	Ribosomal_L5_C	27.8	27.8	94	PfamEq	Y	N	N	ribosomal L5P family C-terminus						131567	cellular organisms	cellular root	36638	EBI-EMBL	ribosomal L5P family C-terminus	ribosomal L5P family C-terminus	This region is found associated with Pfam:PF00281. (from Pfam)
NF012879.6	PF00675.25	Peptidase_M16	22.3	22.3	149	domain	Y	Y	N	insulinase family protein						131567	cellular organisms	cellular root	246435	EBI-EMBL	Insulinase (Peptidase family M16)	insulinase family protein	
