Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_bin_1__BAr2D2E2F_000000166864_2	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high	baseplate wedge subunit					PF04865.20	Baseplate J-like protein barrel domain							phrog_6	baseplate wedge subunit	phrog_6	baseplate wedge subunit	PHROG
vRhyme_bin_1__BAr2D2E2F_000000166864_20	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high	Bacterial regulatory protein, Fis family					PF02954.26	Bacterial regulatory protein, Fis family									PF02954.26	Bacterial regulatory protein, Fis family	Pfam
vRhyme_bin_1__BAr2D2E2F_000000166864_21	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_22	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_23	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high	""													phrog_1362	""	phrog_1362	""	PHROG
vRhyme_bin_1__BAr2D2E2F_000000166864_24	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high	""													phrog_5931	""	phrog_5931	""	PHROG
vRhyme_bin_1__BAr2D2E2F_000000166864_25	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_3	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_4	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_5	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_6	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_7	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_8	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000166864_9	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	unclassified	high	DNA helicase					PF04851.22	Type III restriction enzyme, res subunit							phrog_16	DNA helicase	phrog_16	DNA helicase	PHROG
vRhyme_bin_1__BAr2D2E2F_000000370749_1	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	Domain of unknown function (DUF4326)					PF14216.12	Domain of unknown function (DUF4326)									PF14216.12	Domain of unknown function (DUF4326)	Pfam
vRhyme_bin_1__BAr2D2E2F_000000370749_10	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_11	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	RNA ligase					PF09414.16	RNA ligase							phrog_24030	RNA ligase	phrog_24030	RNA ligase	PHROG
vRhyme_bin_1__BAr2D2E2F_000000370749_13	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_14	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_15	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_16	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_17	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_18	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_19	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_2	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_20	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_21	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_22	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_23	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_24	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_25	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_26	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_27	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_28	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_29	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_3	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	5-hmdU DNA kinase, helical domain	K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	HMMsoil70378	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	PF18723.7	5-hmdU DNA kinase, helical domain							phrog_2396	""	PF18723.7	5-hmdU DNA kinase, helical domain	Pfam
vRhyme_bin_1__BAr2D2E2F_000000370749_30	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_31	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	HMMsoil12920	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	PF00293.35	NUDIX domain							phrog_1198	MutT/NUDIX hydrolase	HMMsoil12920	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	FOAM
vRhyme_bin_1__BAr2D2E2F_000000370749_32	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_33	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	""													phrog_17597	""	phrog_17597	""	PHROG
vRhyme_bin_1__BAr2D2E2F_000000370749_34	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_35	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_36	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_37	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_38	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_4	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_40	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	radC; DNA repair protein RadC	K03630	radC; DNA repair protein RadC			PF04002.21	RadC-like JAB domain							phrog_10276	DNA repair protein	K03630	radC; DNA repair protein RadC	KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_41	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	""													phrog_13746	""	phrog_13746	""	PHROG
vRhyme_bin_1__BAr2D2E2F_000000370749_42	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	""													phrog_7674	""	phrog_7674	""	PHROG
vRhyme_bin_1__BAr2D2E2F_000000370749_43	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_44	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_45	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_46	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_47	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_48	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_49	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_5	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_50	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	ATPase family associated with various cellular activities (AAA)					PF00004.36	ATPase family associated with various cellular activities (AAA)									PF00004.36	ATPase family associated with various cellular activities (AAA)	Pfam
vRhyme_bin_1__BAr2D2E2F_000000370749_51	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	Domain of unknown function (DUF7352)					PF24043.2	Domain of unknown function (DUF7352)							phrog_3848	""	PF24043.2	Domain of unknown function (DUF7352)	Pfam
vRhyme_bin_1__BAr2D2E2F_000000370749_52	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_53	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high	DNA helicase	K19789	radD; DNA repair protein RadD	HMMsoil86259	FANCM; fanconi anemia group M protein	PF04851.22	Type III restriction enzyme, res subunit							phrog_16	DNA helicase	phrog_16	DNA helicase	PHROG
vRhyme_bin_1__BAr2D2E2F_000000370749_54	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_6	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_7	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_8	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_9	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_1	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_10	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high	Protein of unknown function (DUF3037)					PF11236.14	Protein of unknown function (DUF3037)									PF11236.14	Protein of unknown function (DUF3037)	Pfam
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_11	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high	Phage portal protein					PF04860.18	Phage portal protein							phrog_2662	portal protein	PF04860.18	Phage portal protein	Pfam
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_12	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_13	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_14	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_15	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_16	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high	head-tail adaptor													phrog_442	head-tail adaptor	phrog_442	head-tail adaptor	PHROG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_2	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high	Sigma-70, region 4					PF08281.19	Sigma-70, region 4									PF08281.19	Sigma-70, region 4	Pfam
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_3	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_4	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high	K14165; atypical dual specificity phosphatase [EC:3.1.3.16] [EC:3.1.3.48]; E3.1.3.16; protein phosphatase [EC:3.1.3.16]			HMMsoil84880	K14165; atypical dual specificity phosphatase [EC:3.1.3.16] [EC:3.1.3.48]; E3.1.3.16; protein phosphatase [EC:3.1.3.16]	PF00782.26	Dual specificity phosphatase, catalytic domain									HMMsoil84880	K14165; atypical dual specificity phosphatase [EC:3.1.3.16] [EC:3.1.3.48]; E3.1.3.16; protein phosphatase [EC:3.1.3.16]	FOAM
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_5	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_6	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high	pectate lyase (EC 4.2.2.2); exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-); rhamnogalacturonan endolyase (EC 4.2.2.23)							PL9_2	pectate lyase (EC 4.2.2.2); exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-); rhamnogalacturonan endolyase (EC 4.2.2.23)							PL9_2	pectate lyase (EC 4.2.2.2); exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-); rhamnogalacturonan endolyase (EC 4.2.2.23)	dbCAN
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_7	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high	terminase large subunit													phrog_2	terminase large subunit	phrog_2	terminase large subunit	PHROG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_8	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high																		KEGG
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_9	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	unclassified	high	""					PF20613.5	HipA-like kinase							phrog_3162	""	phrog_3162	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_1	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	""					PF11195.15	Thoeris anti-defense 2-like domain							phrog_1048	""	phrog_1048	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_10	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_11	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	""													phrog_21362	""	phrog_21362	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_12	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	""													phrog_28233	""	phrog_28233	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_13	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	D; Bacteriophage probable baseplate hub protein	K06905	D; Bacteriophage probable baseplate hub protein											phrog_52	tail protein	K06905	D; Bacteriophage probable baseplate hub protein	KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_14	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	Type VI secretion system/phage-baseplate injector OB domain					PF04717.19	Type VI secretion system/phage-baseplate injector OB domain									PF04717.19	Type VI secretion system/phage-baseplate injector OB domain	Pfam
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_15	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_16	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	baseplate wedge subunit					PF26079.1	Baseplate J-like protein C-terminal domain							phrog_6	baseplate wedge subunit	phrog_6	baseplate wedge subunit	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_17	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	""			HMMsoil46410	E3.2.1.14; chitinase [EC:3.2.1.14]	PF00041.28	Fibronectin type III domain							phrog_26379	""	phrog_26379	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_18	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	""													phrog_30390	""	phrog_30390	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_19	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_2	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	""													phrog_13532	""	phrog_13532	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_20	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_21	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_22	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_23	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_24	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	esterase/lipase					PF01764.32	Lipase (class 3)							phrog_21992	esterase/lipase	phrog_21992	esterase/lipase	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_25	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	K03791; putative chitinase	K03791	K03791; putative chitinase					GH19_1	chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); [reducing end] chitinase (EC 3.2.1.201)					phrog_9506	endolysin	K03791	K03791; putative chitinase	KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_26	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_3	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_4	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	tail sheath	K06907	FI; Bacteriophage tail sheath protein											phrog_23	tail sheath	phrog_23	tail sheath	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_5	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	endonuclease VII					PF01844.30	HNH endonuclease							phrog_1035	endonuclease VII	phrog_1035	endonuclease VII	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_6	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	""													phrog_12993	""	phrog_12993	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_7	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high	""													phrog_20383	""	phrog_20383	""	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_8	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
