id	name	V-score	VL-score	db	genomad_plasmid_marker
phrog_14238	RusA-like Holliday junction resolvase	2.49	2.396199347	PHROG	False
phrog_5830	integrase	2.41	2.382017043	PHROG	False
phrog_3035	transposase	2.25	2.352182518	PHROG	False
phrog_21421	integrase	2.14	2.330413773	PHROG	False
phrog_10081	transposase	2.06	2.31386722	PHROG	False
phrog_7363	homing endonuclease	2.03	2.307496038	PHROG	False
phrog_2393	transposase	1.98	2.29666519	PHROG	False
phrog_827	Holliday junction resolvase	1.91	2.281033367	PHROG	False
phrog_4632	RusA-like Holliday junction resolvase	1.87	2.271841607	PHROG	False
phrog_9203	RusA-like Holliday junction resolvase	1.85	2.267171728	PHROG	False
phrog_3598	transposase	1.82	2.260071388	PHROG	False
phrog_26387	ParB-like partition nuclease	1.82	2.260071388	PHROG	False
phrog_11023	homing endonuclease with LAGLIDADG motif	1.75	2.243038049	PHROG	False
phrog_4716	transposase	1.71	2.23299611	PHROG	False
phrog_12598	RusA-like Holliday junction resolvase	1.62	2.209515015	PHROG	False
phrog_5389	transposase	1.57	2.195899652	PHROG	False
phrog_930	ParB-like partition protein	1.49	2.173186268	PHROG	False
phrog_3300	transposase	1.34	2.127104798	PHROG	False
phrog_33747	transposase	1.3	2.113943352	PHROG	False
phrog_1013	transposase	1.13	2.053078443	PHROG	False
phrog_1631	transposase	1.01	2.004321374	PHROG	False
phrog_18317	Holliday junction resolvase	0.93	1.968482949	PHROG	False
phrog_2262	transposase	0.84	1.924279286	PHROG	False
phrog_7951	transposase	0.79	1.897627091	PHROG	False
phrog_1146	ParB-like partition protein	0.78	1.892094603	PHROG	False
phrog_720	transposase	0.73	1.86332286	PHROG	False
phrog_17698	transposase	0.69	1.838849091	PHROG	False
phrog_11704	transposase	0.67	1.826074803	PHROG	False
phrog_1723	recombinase	0.58	1.763427994	PHROG	False
phrog_2422	transposase	0.52	1.716003344	PHROG	False
phrog_34723	integrase	0.52	1.716003344	PHROG	False
phrog_6591	Holliday junction resolvase	0.52	1.716003344	PHROG	False
phrog_3875	RuvC-like Holliday junction resolvase	0.49	1.69019608	PHROG	False
phrog_34557	integrase	0.47	1.672097858	PHROG	False
phrog_1191	transposase	0.42	1.62324929	PHROG	False
phrog_2515	partition protein	0.42	1.62324929	PHROG	False
phrog_6537	RusA-like Holliday junction resolvase	0.41	1.612783857	PHROG	False
phrog_20919	recombinase	0.39	1.591064607	PHROG	False
phrog_9208	integrase	0.35	1.544068044	PHROG	False
phrog_23036	Holliday junction resolvase	0.3	1.477121255	PHROG	False
phrog_2123	recombinase	0.29	1.462397998	PHROG	False
phrog_5127	integrase	0.27	1.431363764	PHROG	False
phrog_15265	recombinase	0.25	1.397940009	PHROG	False
phrog_37986	Holliday junction resolvase	0.25	1.397940009	PHROG	False
phrog_32069	ParB-like partition protein	0.22	1.342422681	PHROG	False
phrog_25551	homing endonuclease	0.19	1.278753601	PHROG	False
phrog_7504	homing endonuclease	0.19	1.278753601	PHROG	False
phrog_10357	recombinase	0.19	1.278753601	PHROG	False
phrog_26588	ParB-like partition nuclease	0.17	1.230448921	PHROG	False
phrog_26754	ParB-like partition nuclease	0.14	1.146128036	PHROG	False
phrog_9366	transposase	0.12	1.079181246	PHROG	False
phrog_8671	partition protein	0.12	1.079181246	PHROG	False
phrog_24671	integrase	0.12	1.079181246	PHROG	False
phrog_33290	ParB-like partition nuclease	0.11	1.041392685	PHROG	False
phrog_18411	homing endonuclease	0.11	1.041392685	PHROG	False
phrog_36562	transposase	0.1	1.0	PHROG	False
phrog_32871	integrase	0.1	1.0	PHROG	False
phrog_26377	ParB-like partition protein	0.1	1.0	PHROG	False
phrog_18250	integrase	0.08	0.903089987	PHROG	False
phrog_11894	RusA-like Holliday junction resolvase	0.08	0.903089987	PHROG	False
phrog_34902	Holliday junction resolvase	0.06	0.77815125	PHROG	False
phrog_26163	homing endonuclease	0.06	0.77815125	PHROG	False
phrog_10486	transposase	0.05	0.698970004	PHROG	False
phrog_23136	integrase	0.05	0.698970004	PHROG	False
phrog_27175	transposase	0.04	0.602059991	PHROG	False
phrog_16545	ParB-like partition protein	0.03	0.477121255	PHROG	False
phrog_33277	ParB-like partition protein	0.03	0.477121255	PHROG	False
phrog_14449	transposase	0.02	0.301029996	PHROG	False
phrog_27407	Holliday junction resolvase	0.02	0.301029996	PHROG	False
