Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_bin_11__LABRr1A1B1C_000000147842_10	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_11	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_12	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_13	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_14	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	homing endonuclease													phrog_7168	homing endonuclease	phrog_7168	homing endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000147842_15	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	Putative Ig domain					PF05345.19	Putative Ig domain									PF05345	Putative Ig domain	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000147842_16	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_2	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_3	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_4	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	homing endonuclease													phrog_7168	homing endonuclease	phrog_7168	homing endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000147842_5	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_6	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_7	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_8	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000147842_9	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	homing endonuclease													phrog_7168	homing endonuclease	phrog_7168	homing endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000175166_13	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000175166_15	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000192364_10	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	NUMOD3 motif					PF07460.17	NUMOD3 motif									PF07460	NUMOD3 motif	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000192364_12	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000192364_17	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000192364_18	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	Domain of unknown function (DUF6899)					PF21840.2	Domain of unknown function (DUF6899)									PF21840	Domain of unknown function (DUF6899)	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000192364_19	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000192364_20	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000192364_21	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000192364_5	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_1	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_10	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_11	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	exonuclease													phrog_298	exonuclease	phrog_298	exonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000220419_12	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_13	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_14	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	IRC3; ATP-dependent helicase IRC3 [EC:5.6.2.-]	K17677	IRC3; ATP-dependent helicase IRC3 [EC:5.6.2.-]													K17677	IRC3; ATP-dependent helicase IRC3 [EC:5.6.2.-]	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000220419_15	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_16	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_17	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_18	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_19	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_2	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_20	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	dnaB; replicative DNA helicase [EC:5.6.2.3]	K02314	dnaB; replicative DNA helicase [EC:5.6.2.3]			PF03796.22	DnaB-like helicase C terminal domain							phrog_19	DnaB-like replicative helicase	K02314	dnaB; replicative DNA helicase [EC:5.6.2.3]	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000220419_21	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_22	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	protease													phrog_11227	protease	phrog_11227	protease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000220419_23	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_24	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_25	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_26	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_27	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	""													phrog_9210	""	phrog_9210	""	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000220419_28	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	phosphoadenosine phosphosulfate reductase													phrog_424	phosphoadenosine phosphosulfate reductase	phrog_424	phosphoadenosine phosphosulfate reductase	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000220419_29	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_3	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_30	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_31	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_32	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_33	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	""													phrog_12853	""	phrog_12853	""	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000220419_34	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_35	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_36	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_37	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_38	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_39	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_4	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	HMMsoil6395	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	PF00712.25	DNA polymerase III beta subunit, N-terminal domain							phrog_947	DNA polymerase processivity factor	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000220419_40	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_41	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_42	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_5	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	KTSC domain					PF13619.12	KTSC domain									PF13619	KTSC domain	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000220419_6	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_7	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_8	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000220419_9	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	RecT-like ssDNA annealing protein													phrog_2780	RecT-like ssDNA annealing protein	phrog_2780	RecT-like ssDNA annealing protein	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000230540_1	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_10	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_11	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_12	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_13	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]	K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]											phrog_367	ribonucleotide reductase	K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000230540_14	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_2	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_3	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_4	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_5	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_6	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_7	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_8	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000230540_9	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	DnaB-like replicative helicase													phrog_19	DnaB-like replicative helicase	phrog_19	DnaB-like replicative helicase	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000238963_1	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_10	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	K27561; Bacillus phage HNH endonuclease	K27561	K27561; Bacillus phage HNH endonuclease											phrog_1035	endonuclease VII	K27561	K27561; Bacillus phage HNH endonuclease	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000238963_11	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_2	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_3	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_4	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_5	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_6	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_7	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_8	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000238963_9	vRhyme_bin_11__LABRr1A1B1C_000000238963	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_1	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_10	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_11	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_12	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_13	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_2	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	metallo-phosphoesterase													phrog_1649	metallo-phosphoesterase	phrog_1649	metallo-phosphoesterase	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000262686_3	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_4	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_5	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_6	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000262686_7	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	""													phrog_11575	""	phrog_11575	""	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000262686_8	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	homing endonuclease													phrog_7168	homing endonuclease	phrog_7168	homing endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000262686_9	vRhyme_bin_11__LABRr1A1B1C_000000262686	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_1	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	SNF2-related domain			HMMsoil69886	E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]	PF00176.30	SNF2-related domain									PF00176	SNF2-related domain	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000270577_10	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_11	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_12	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_13	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_14	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_16	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_19	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_2	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_25	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	""					PF15891.12	Nucleoside 2-deoxyribosyltransferase like							phrog_30579	""	phrog_30579	""	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000270577_26	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_3	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_36	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_37	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	K27287; Autographiviridae endonuclease VII	K27287	K27287; Autographiviridae endonuclease VII											phrog_2633	endonuclease VII	K27287	K27287; Autographiviridae endonuclease VII	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000270577_38	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	K27456; Schitoviridae thymidylate synthase	K27456	K27456; Schitoviridae thymidylate synthase													K27456	K27456; Schitoviridae thymidylate synthase	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000270577_39	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_4	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_5	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_6	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_7	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_8	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000270577_9	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_1	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_10	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_11	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_12	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_13	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_14	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_15	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_16	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_17	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
