Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	step5_in_merged_region	nonviral_region_pos	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	protein_in_ambig_region
vRhyme_bin_11__LABRr1A1B1C_000000147842_5	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																											8847.0	729.0	8847.0	false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000147842_6	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																											8220.0	1356.0	8220.0	false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000147842_7	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																											6636.0	2940.0	6636.0	false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000147842_8	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																											4287.0	5289.0	4287.0	false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000147842_9	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	homing endonuclease							phrog_7168							102.566185							0.46830985915492956		10.0	10.0		5052.0	9576.0	5052.0	true		high							homing endonuclease	phrog_7168	homing endonuclease	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000147842_10	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																										582.0	4470.0	582.0	4470.0	true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000147842_11	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																										1392.0	3660.0	1392.0	3660.0	true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000147842_12	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																										1953.0	3099.0	1953.0	3099.0	true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000147842_13	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																										2667.0	2385.0	2667.0	2385.0	true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000147842_14	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	homing endonuclease							phrog_7168							87.680725							0.5211267605633803		10.0	10.0	5052.0	510.0	5052.0		true		high							homing endonuclease	phrog_7168	homing endonuclease	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000147842_15	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11	Putative Ig domain			PF05345.19							75.386147							0.9479166666666666						10.0		510.0		510.0		true		high			Putative Ig domain					PF05345	Putative Ig domain	Pfam	false
vRhyme_bin_11__LABRr1A1B1C_000000147842_16	vRhyme_bin_11__LABRr1A1B1C_000000147842	LABRr1A1B1C_vRhyme_bin_11																										5415.0		5925.0		false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_1	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											8484.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_2	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											8247.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_3	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											7848.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_4	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											7566.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_5	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11								phrog_19005							124.619629							0.8192307692307692					7368.0			false		medium							""	phrog_19005	""	PHROG	true
vRhyme_bin_11__LABRr1A1B1C_000000175166_6	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																							4.93	2.23			6564.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_7	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											5100.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_8	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											4674.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_9	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											4560.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_10	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											3690.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_11	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											3150.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_12	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											2724.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_13	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																											549.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000175166_14	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																								10.0			402.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000175166_15	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																								10.0	10.0	402.0	5622.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000175166_16	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																										1833.0	3789.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000175166_17	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																										2073.0	3549.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000175166_18	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																										2958.0	2664.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000175166_19	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11	major head protein							phrog_9953							87.03997							0.9027355623100304				3141.0	2481.0			true		medium							major head protein	phrog_9953	major head protein	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000175166_20	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																										4074.0	1548.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000175166_21	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																										4623.0	999.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000175166_22	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																										5199.0	423.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000175166_23	vRhyme_bin_11__LABRr1A1B1C_000000175166	LABRr1A1B1C_vRhyme_bin_11																							10.0	8.61		5622.0				true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_1	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																											2052.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000192364_2	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																											1725.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000192364_3	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																											624.0			false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000192364_4	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	Domain of unknown function (DUF3850)			PF12961.14				phrog_1812			89.478943				71.169434			0.974025974025974				0.5		10.0	10.0		270.0			true		medium			Domain of unknown function (DUF3850)				""	PF12961	Domain of unknown function (DUF3850)	Pfam	false
vRhyme_bin_11__LABRr1A1B1C_000000192364_5	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																							10.0	10.0	10.0	270.0	2352.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_6	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										573.0	1779.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_7	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										861.0	1491.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_8	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																							2.4	2.2		1245.0	1107.0			true		low											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_9	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										2031.0	321.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_10	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	NUMOD3 motif			PF07460.17							67.093964							1.0						10.0	10.0	2352.0	573.0			true		high			NUMOD3 motif					PF07460	NUMOD3 motif	Pfam	false
vRhyme_bin_11__LABRr1A1B1C_000000192364_11	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	K03657		PF00580.28				phrog_1967	454.57196		201.883621				352.258057	0.7361647361647362		0.992619926199262				0.6997422680412371	10.0	10.0	10.0	573.0	3633.0			true		medium	uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]		UvrD/REP helicase N-terminal domain				DNA helicase	K03657	uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	KEGG	false
vRhyme_bin_11__LABRr1A1B1C_000000192364_12	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										2022.0	1611.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_13	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										2256.0	1377.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_14	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										2472.0	1161.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_15	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										2919.0	714.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_16	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										3306.0	327.0			true		medium											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_17	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																								10.0	10.0	3633.0				true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000192364_18	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	Domain of unknown function (DUF6899)			PF21840.2							77.790604							1.0								768.0				false		high			Domain of unknown function (DUF6899)					PF21840	Domain of unknown function (DUF6899)	Pfam	true
vRhyme_bin_11__LABRr1A1B1C_000000192364_19	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										1116.0				false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000192364_20	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										1425.0				false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000192364_21	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11																										1800.0				false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000203956_1	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11	Ribulose-phosphate 3 epimerase family		HMMsoil44705	PF00834.26						84.290543	97.940231						0.525	0.5303030303030303					0.3	0.27			315.0			false		low		rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	Ribulose-phosphate 3 epimerase family					PF00834	Ribulose-phosphate 3 epimerase family	Pfam	true
vRhyme_bin_11__LABRr1A1B1C_000000203956_2	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																								10.0			1410.0			true		low											false
vRhyme_bin_11__LABRr1A1B1C_000000203956_3	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										201.0	1209.0			true		low											false
vRhyme_bin_11__LABRr1A1B1C_000000203956_4	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										444.0	966.0			true		low											false
vRhyme_bin_11__LABRr1A1B1C_000000203956_5	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										627.0	783.0			true		low											false
vRhyme_bin_11__LABRr1A1B1C_000000203956_6	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11	terminase large subunit							phrog_38							200.586868							0.5526315789473685	10.0	10.0	10.0	1410.0				true		low							terminase large subunit	phrog_38	terminase large subunit	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000203956_7	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																								0.66		1965.0				false		low											true
vRhyme_bin_11__LABRr1A1B1C_000000203956_8	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11	portal protein			PF23899.2				phrog_1216			102.282097				112.572899			0.8128161888701517				0.819327731092437				2331.0				false		low			Phage SU10 portal protein				portal protein	phrog_1216	portal protein	PHROG	true
vRhyme_bin_11__LABRr1A1B1C_000000203956_9	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										4500.0				false		low											true
vRhyme_bin_11__LABRr1A1B1C_000000203956_10	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										4716.0				false		low											true
vRhyme_bin_11__LABRr1A1B1C_000000203956_11	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										5103.0				false		low											true
vRhyme_bin_11__LABRr1A1B1C_000000203956_12	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										5271.0				false		low											true
vRhyme_bin_11__LABRr1A1B1C_000000203956_13	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										6582.0				false		low											true
vRhyme_bin_11__LABRr1A1B1C_000000203956_14	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11																										7614.0				false		medium											true
vRhyme_bin_11__LABRr1A1B1C_000000220419_1	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																											738.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000220419_2	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																											558.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000220419_3	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																											300.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000220419_4	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	K02338	HMMsoil6395	PF00712.25				phrog_947	265.665527	236.234283	78.969879				206.544678	0.6924564796905223	0.9971830985915493	0.9916666666666667				0.9836956521739131	10.0	10.0	10.0		1131.0			true		high	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	DNA polymerase III beta subunit, N-terminal domain				DNA polymerase processivity factor	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	KEGG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_5	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	KTSC domain			PF13619.12							63.952923							0.9827586206896551						10.0	10.0	1131.0	1263.0			true		high			KTSC domain					PF13619	KTSC domain	Pfam	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_6	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										213.0	1050.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_7	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										549.0	714.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_8	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										993.0	270.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_9	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	RecT-like ssDNA annealing protein							phrog_2780							104.983002							0.7398373983739838		10.0	10.0	1263.0	1437.0			true		high							RecT-like ssDNA annealing protein	phrog_2780	RecT-like ssDNA annealing protein	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_10	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																							10.0	10.0	10.0	1437.0	2742.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_11	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	exonuclease							phrog_298							64.02636							0.6416382252559727				840.0	1902.0			true		high							exonuclease	phrog_298	exonuclease	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_12	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										1461.0	1281.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_13	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2013.0	729.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_14	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	IRC3; ATP-dependent helicase IRC3 [EC:5.6.2.-]	K17677							375.865784							0.7591549295774648							10.0	10.0	10.0	2742.0	4485.0			true		high	IRC3; ATP-dependent helicase IRC3 [EC:5.6.2.-]							K17677	IRC3; ATP-dependent helicase IRC3 [EC:5.6.2.-]	KEGG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_15	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										1773.0	2712.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_16	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2193.0	2292.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_17	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2502.0	1983.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_18	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										3969.0	516.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_19	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										4293.0	192.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_20	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	dnaB; replicative DNA helicase [EC:5.6.2.3]	K02314		PF03796.22				phrog_19	357.529602		222.571136				293.163971	0.6767036450079239		0.996078431372549				0.6908212560386473	10.0	10.0	10.0	4485.0	2919.0			true		high	dnaB; replicative DNA helicase [EC:5.6.2.3]		DnaB-like helicase C terminal domain				DnaB-like replicative helicase	K02314	dnaB; replicative DNA helicase [EC:5.6.2.3]	KEGG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_21	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										1368.0	1551.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_22	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	protease							phrog_11227							175.704407							0.9130434782608695				2058.0	861.0			true		high							protease	phrog_11227	protease	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_23	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2484.0	435.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_24	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2706.0	213.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_25	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																							10.0	10.0	10.0	2919.0	3048.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_26	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										381.0	2667.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_27	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11								phrog_9210							125.814034							0.9313725490196079				564.0	2484.0			true		high							""	phrog_9210	""	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_28	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	phosphoadenosine phosphosulfate reductase							phrog_424							105.890747							0.5456521739130434				1206.0	1842.0			true		high							phosphoadenosine phosphosulfate reductase	phrog_424	phosphoadenosine phosphosulfate reductase	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_29	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										1971.0	1077.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_30	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2220.0	828.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_31	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2643.0	405.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_32	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2922.0	126.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_33	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11								phrog_12853							69.899559							0.9847328244274809	10.0	10.0	10.0	3048.0	8460.0			true		high							""	phrog_12853	""	PHROG	false
vRhyme_bin_11__LABRr1A1B1C_000000220419_34	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										528.0	7932.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_35	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										3441.0	5019.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_36	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										6900.0	1560.0			true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_37	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																								10.0	1.67	8460.0				true		high											false
vRhyme_bin_11__LABRr1A1B1C_000000220419_38	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										909.0				false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000220419_39	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										1521.0				false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000220419_40	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										2811.0				false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000220419_41	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										4413.0				false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000220419_42	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11																										6057.0				false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_1	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11																											10308.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_2	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11																											9993.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_3	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11																											8886.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_4	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11																											7413.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_5	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11																											4155.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_6	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11																											3498.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_7	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11																											3327.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_8	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11																											2124.0			false		high											true
vRhyme_bin_11__LABRr1A1B1C_000000230540_9	vRhyme_bin_11__LABRr1A1B1C_000000230540	LABRr1A1B1C_vRhyme_bin_11	DnaB-like replicative helicase							phrog_19							116.749596							0.5523349436392915					1626.0			false		high							DnaB-like replicative helicase	phrog_19	DnaB-like replicative helicase	PHROG	true
